"Država","Leto","Starost","Število"
"Belgium",1993,"From 2 to 5 years","1,175,000"
"Belgium",1993,"From 5 to 10 years","1,510,000"
"Belgium",1993,"Over 10 years","778,000"
"Bulgaria",1993,"Total","1,505,000"
"Czech Republic",1993,"Total","2,833,143"
"Czech Republic",1993,"Less than 2 years","239,245"
"Czech Republic",1993,"From 2 to 5 years","414,096"
"Czech Republic",1993,"From 5 to 10 years","708,335"
"Czech Republic",1993,"Over 10 years","1,471,467"
"Denmark",1993,"Total","1,618,000"
"Germany (until 1990 former territory of the FRG)",1993,"Total","38,772,000"
"Estonia",1993,"Total","317,425"
"Ireland",1993,"Total","891,027"
"Ireland",1993,"Less than 2 years","126,500"
"Ireland",1993,"From 2 to 5 years","235,100"
"Ireland",1993,"From 5 to 10 years","320,000"
"Ireland",1993,"Over 10 years","209,200"
"Greece",1993,"Total","1,959,000"
"Spain",1993,"Total","13,441,000"
"France",1993,"Total","24,385,000"
"Croatia",1993,"Total","646,000"
"Italy",1993,"Total","29,652,000"
"Cyprus",1993,"Total","203,000"
"Latvia",1993,"Total","367,475"
"Lithuania",1993,"Total","597,740"
"Luxembourg",1993,"Total","218,000"
"Hungary",1993,"Total","2,093,529"
"Malta",1993,"Total","152,613"
"Netherlands",1993,"Total","5,456,000"
"Austria",1993,"Total","3,367,000"
"Poland",1993,"Total","6,770,557"
"Portugal",1993,"Total","3,295,000"
"Romania",1993,"Total","1,793,054"
"Slovenia",1993,"Total","632,563"
"Slovenia",1993,"Less than 2 years","88,507"
"Slovenia",1993,"From 2 to 5 years","241,065"
"Slovenia",1993,"From 5 to 10 years","148,925"
"Slovenia",1993,"Over 10 years","154,066"
"Slovakia",1993,"Total","994,933"
"Finland",1993,"Total","1,873,000"
"Sweden",1993,"Total","3,566,000"
"United Kingdom",1993,"Total","21,288,000"
"Iceland",1993,"Total","116,000"
"Liechtenstein",1993,"Total","17,770"
"Norway",1993,"Total","1,633,000"
"Switzerland",1993,"Total","3,110,000"
"Former Yugoslav Republic of Macedonia, the",1993,"Total","289,979"
"Former Yugoslav Republic of Macedonia, the",1993,"Less than 2 years","6,519"
"Former Yugoslav Republic of Macedonia, the",1993,"From 2 to 5 years","36,068"
"Former Yugoslav Republic of Macedonia, the",1993,"From 5 to 10 years","44,435"
"Former Yugoslav Republic of Macedonia, the",1993,"Over 10 years","202,957"
"Turkey",1993,"Total","2,619,852"
"Belgium",1994,"Total","4,210,000"
"Belgium",1994,"Less than 2 years","640,000"
"Belgium",1994,"From 2 to 5 years","1,197,000"
"Belgium",1994,"From 5 to 10 years","1,581,000"
"Belgium",1994,"Over 10 years","792,000"
"Bulgaria",1994,"Total","1,588,000"
"Czech Republic",1994,"Total","2,923,916"
"Czech Republic",1994,"Less than 2 years","205,681"
"Czech Republic",1994,"From 2 to 5 years","379,080"
"Czech Republic",1994,"From 5 to 10 years","756,166"
"Czech Republic",1994,"Over 10 years","1,582,989"
"Denmark",1994,"Total","1,611,000"
"Germany (until 1990 former territory of the FRG)",1994,"Total","39,765,000"
"Germany (until 1990 former territory of the FRG)",1994,"Less than 2 years","4,974,000"
"Germany (until 1990 former territory of the FRG)",1994,"From 2 to 5 years","11,286,000"
"Germany (until 1990 former territory of the FRG)",1994,"From 5 to 10 years","13,045,000"
"Germany (until 1990 former territory of the FRG)",1994,"Over 10 years","10,461,000"
"Estonia",1994,"Total","337,812"
"Ireland",1994,"Total","939,022"
"Ireland",1994,"Less than 2 years","136,790"
"Ireland",1994,"From 2 to 5 years","225,797"
"Ireland",1994,"From 5 to 10 years","358,198"
"Ireland",1994,"Over 10 years","218,237"
"Greece",1994,"Total","2,074,000"
"Greece",1994,"Less than 2 years","274,000"
"Greece",1994,"From 2 to 5 years","516,000"
"Greece",1994,"From 5 to 10 years","454,000"
"Greece",1994,"Over 10 years","830,000"
"Spain",1994,"Total","13,734,000"
"Spain",1994,"Less than 2 years","1,704,000"
"Spain",1994,"From 2 to 5 years","2,908,000"
"Spain",1994,"From 5 to 10 years","4,272,000"
"Spain",1994,"Over 10 years","4,849,000"
"France",1994,"Total","24,900,000"
"France",1994,"Less than 2 years","3,807,000"
"France",1994,"From 2 to 5 years","6,405,000"
"France",1994,"From 5 to 10 years","8,906,000"
"France",1994,"Over 10 years","5,782,000"
"Croatia",1994,"Total","698,000"
"Italy",1994,"Total","29,665,000"
"Italy",1994,"Less than 2 years","3,352,000"
"Italy",1994,"From 2 to 5 years","6,833,000"
"Cyprus",1994,"Total","210,000"
"Cyprus",1994,"Less than 2 years","24,000"
"Cyprus",1994,"From 2 to 5 years","47,000"
"Cyprus",1994,"From 5 to 10 years","55,000"
"Cyprus",1994,"Over 10 years","84,000"
"Latvia",1994,"Total","251,590"
"Lithuania",1994,"Total","652,810"
"Luxembourg",1994,"Total","229,000"
"Hungary",1994,"Total","2,178,891"
"Malta",1994,"Total","170,635"
"Netherlands",1994,"Total","5,581,000"
"Austria",1994,"Total","3,479,000"
"Austria",1994,"Less than 2 years","536,000"
"Austria",1994,"From 2 to 5 years","859,000"
"Austria",1994,"From 5 to 10 years","1,175,000"
"Austria",1994,"Over 10 years","910,000"
"Poland",1994,"Total","7,153,141"
"Portugal",1994,"Total","3,532,000"
"Romania",1994,"Total","2,020,017"
"Slovenia",1994,"Total","657,287"
"Slovenia",1994,"Less than 2 years","104,303"
"Slovenia",1994,"From 2 to 5 years","223,078"
"Slovenia",1994,"From 5 to 10 years","180,180"
"Slovenia",1994,"Over 10 years","149,726"
"Slovakia",1994,"Total","994,046"
"Finland",1994,"Total","1,873,000"
"Sweden",1994,"Total","3,594,000"
"United Kingdom",1994,"Total","21,740,000"
"Iceland",1994,"Total","116,000"
"Liechtenstein",1994,"Total","18,260"
"Norway",1994,"Total","1,654,000"
"Switzerland",1994,"Total","3,165,000"
"Switzerland",1994,"Less than 2 years","502,000"
"Switzerland",1994,"From 2 to 5 years","844,000"
"Switzerland",1994,"From 5 to 10 years","1,201,000"
"Switzerland",1994,"Over 10 years","619,000"
"Former Yugoslav Republic of Macedonia, the",1994,"Total","263,181"
"Former Yugoslav Republic of Macedonia, the",1994,"Less than 2 years","8,514"
"Former Yugoslav Republic of Macedonia, the",1994,"From 2 to 5 years","29,018"
"Former Yugoslav Republic of Macedonia, the",1994,"From 5 to 10 years","41,215"
"Former Yugoslav Republic of Macedonia, the",1994,"Over 10 years","184,434"
"Turkey",1994,"Total","2,861,640"
"Belgium",1995,"Total","4,273,000"
"Belgium",1995,"Less than 2 years","605,000"
"Belgium",1995,"From 2 to 5 years","1,122,000"
"Belgium",1995,"From 5 to 10 years","1,664,000"
"Belgium",1995,"Over 10 years","882,000"
"Bulgaria",1995,"Total","1,648,000"
"Czech Republic",1995,"Total","3,043,320"
"Czech Republic",1995,"Less than 2 years","210,170"
"Czech Republic",1995,"From 2 to 5 years","329,630"
"Czech Republic",1995,"From 5 to 10 years","773,130"
"Czech Republic",1995,"Over 10 years","1,730,390"
"Denmark",1995,"Total","1,679,000"
"Denmark",1995,"Less than 2 years","350,000"
"Denmark",1995,"From 2 to 5 years","238,000"
"Denmark",1995,"From 5 to 10 years","571,000"
"Denmark",1995,"Over 10 years","520,000"
"Germany (until 1990 former territory of the FRG)",1995,"Total","40,404,000"
"Germany (until 1990 former territory of the FRG)",1995,"Less than 2 years","5,025,000"
"Germany (until 1990 former territory of the FRG)",1995,"From 2 to 5 years","11,042,000"
"Germany (until 1990 former territory of the FRG)",1995,"From 5 to 10 years","13,797,000"
"Germany (until 1990 former territory of the FRG)",1995,"Over 10 years","10,541,000"
"Estonia",1995,"Total","383,444"
"Ireland",1995,"Total","990,384"
"Ireland",1995,"Less than 2 years","157,800"
"Ireland",1995,"From 2 to 5 years","206,300"
"Ireland",1995,"From 5 to 10 years","394,200"
"Ireland",1995,"Over 10 years","232,100"
"Greece",1995,"Total","2,205,000"
"Greece",1995,"Less than 2 years","252,000"
"Greece",1995,"From 2 to 5 years","539,000"
"Greece",1995,"From 5 to 10 years","478,000"
"Greece",1995,"Over 10 years","936,000"
"Spain",1995,"Total","14,212,000"
"Spain",1995,"Less than 2 years","1,791,000"
"Spain",1995,"From 2 to 5 years","2,674,000"
"Spain",1995,"From 5 to 10 years","4,688,000"
"Spain",1995,"Over 10 years","5,060,000"
"France",1995,"Total","25,100,000"
"France",1995,"Less than 2 years","4,038,000"
"France",1995,"From 2 to 5 years","5,974,000"
"France",1995,"From 5 to 10 years","9,373,000"
"France",1995,"Over 10 years","5,715,000"
"Croatia",1995,"Total","711,000"
"Croatia",1995,"Less than 2 years","36,000"
"Croatia",1995,"From 2 to 5 years","151,000"
"Croatia",1995,"From 5 to 10 years","280,000"
"Croatia",1995,"Over 10 years","244,000"
"Italy",1995,"Total","30,301,000"
"Italy",1995,"Less than 2 years","3,406,000"
"Italy",1995,"From 2 to 5 years","6,248,000"
"Cyprus",1995,"Total","220,000"
"Cyprus",1995,"Less than 2 years","29,000"
"Cyprus",1995,"From 2 to 5 years","41,000"
"Cyprus",1995,"From 5 to 10 years","61,000"
"Cyprus",1995,"Over 10 years","89,000"
"Latvia",1995,"Total","332,000"
"Lithuania",1995,"Total","718,469"
"Hungary",1995,"Total","2,244,946"
"Hungary",1995,"Less than 2 years","140,000"
"Hungary",1995,"From 2 to 5 years","182,000"
"Hungary",1995,"From 5 to 10 years","706,000"
"Hungary",1995,"Over 10 years","1,217,000"
"Malta",1995,"Total","180,851"
"Netherlands",1995,"Total","5,664,000"
"Austria",1995,"Total","3,594,000"
"Poland",1995,"Total","7,517,266"
"Portugal",1995,"Total","3,751,000"
"Romania",1995,"Total","2,197,477"
"Slovenia",1995,"Total","698,212"
"Slovenia",1995,"Less than 2 years","102,978"
"Slovenia",1995,"From 2 to 5 years","228,549"
"Slovenia",1995,"From 5 to 10 years","212,802"
"Slovenia",1995,"Over 10 years","153,883"
"Slovakia",1995,"Total","1,015,794"
"Finland",1995,"Total","1,901,000"
"Sweden",1995,"Total","3,631,000"
"United Kingdom",1995,"Total","21,951,000"
"Iceland",1995,"Total","119,000"
"Liechtenstein",1995,"Total","19,000"
"Norway",1995,"Total","1,685,000"
"Switzerland",1995,"Total","3,229,000"
"Switzerland",1995,"Less than 2 years","509,000"
"Switzerland",1995,"From 2 to 5 years","790,000"
"Switzerland",1995,"From 5 to 10 years","1,265,000"
"Switzerland",1995,"Over 10 years","665,000"
"Former Yugoslav Republic of Macedonia, the",1995,"Total","285,907"
"Former Yugoslav Republic of Macedonia, the",1995,"Less than 2 years","18,000"
"Former Yugoslav Republic of Macedonia, the",1995,"From 2 to 5 years","22,000"
"Former Yugoslav Republic of Macedonia, the",1995,"From 5 to 10 years","45,000"
"Former Yugoslav Republic of Macedonia, the",1995,"Over 10 years","202,000"
"Turkey",1995,"Total","3,058,511"
"Belgium",1996,"Total","4,339,000"
"Belgium",1996,"Less than 2 years","603,000"
"Belgium",1996,"From 2 to 5 years","1,071,000"
"Belgium",1996,"From 5 to 10 years","1,664,000"
"Belgium",1996,"Over 10 years","982,000"
"Bulgaria",1996,"Total","1,707,000"
"Czech Republic",1996,"Total","3,192,532"
"Czech Republic",1996,"Less than 2 years","268,616"
"Czech Republic",1996,"From 2 to 5 years","330,018"
"Czech Republic",1996,"From 5 to 10 years","706,010"
"Czech Republic",1996,"Over 10 years","1,887,888"
"Denmark",1996,"Total","1,739,000"
"Denmark",1996,"Less than 2 years","408,000"
"Denmark",1996,"From 2 to 5 years","241,000"
"Denmark",1996,"From 5 to 10 years","503,000"
"Denmark",1996,"Over 10 years","587,000"
"Germany (until 1990 former territory of the FRG)",1996,"Total","40,988,000"
"Germany (until 1990 former territory of the FRG)",1996,"Less than 2 years","5,256,000"
"Germany (until 1990 former territory of the FRG)",1996,"From 2 to 5 years","10,072,000"
"Germany (until 1990 former territory of the FRG)",1996,"From 5 to 10 years","14,820,000"
"Germany (until 1990 former territory of the FRG)",1996,"Over 10 years","10,839,000"
"Estonia",1996,"Total","406,598"
"Ireland",1996,"Total","1,057,383"
"Ireland",1996,"Less than 2 years","190,400"
"Ireland",1996,"From 2 to 5 years","219,100"
"Ireland",1996,"From 5 to 10 years","412,600"
"Ireland",1996,"Over 10 years","235,200"
"Greece",1996,"Total","2,339,000"
"Greece",1996,"Less than 2 years","275,000"
"Greece",1996,"From 2 to 5 years","480,000"
"Greece",1996,"From 5 to 10 years","559,000"
"Greece",1996,"Over 10 years","1,025,000"
"Spain",1996,"Less than 2 years","2,740,000"
"Spain",1996,"From 2 to 5 years","2,662,000"
"Spain",1996,"From 5 to 10 years","4,632,000"
"Spain",1996,"Over 10 years","4,719,000"
"France",1996,"Total","25,500,000"
"France",1996,"Less than 2 years","4,200,000"
"France",1996,"From 2 to 5 years","6,002,000"
"France",1996,"From 5 to 10 years","9,538,000"
"France",1996,"Over 10 years","5,760,000"
"Croatia",1996,"Total","836,000"
"Croatia",1996,"Less than 2 years","52,000"
"Croatia",1996,"From 2 to 5 years","117,000"
"Croatia",1996,"From 5 to 10 years","339,000"
"Croatia",1996,"Over 10 years","328,000"
"Italy",1996,"Total","30,470,000"
"Italy",1996,"Less than 2 years","3,472,000"
"Italy",1996,"From 2 to 5 years","5,643,000"
"Cyprus",1996,"Total","227,000"
"Cyprus",1996,"Less than 2 years","35,000"
"Cyprus",1996,"From 2 to 5 years","37,000"
"Cyprus",1996,"From 5 to 10 years","65,000"
"Cyprus",1996,"Over 10 years","89,000"
"Latvia",1996,"Total","379,895"
"Latvia",1996,"Less than 2 years","5,137"
"Latvia",1996,"From 2 to 5 years","14,650"
"Latvia",1996,"From 5 to 10 years","74,401"
"Lithuania",1996,"Total","785,088"
"Lithuania",1996,"Less than 2 years","5,100"
"Lithuania",1996,"From 2 to 5 years","12,800"
"Lithuania",1996,"From 5 to 10 years","141,800"
"Lithuania",1996,"Over 10 years","625,388"
"Hungary",1996,"Total","2,265,180"
"Hungary",1996,"Less than 2 years","124,000"
"Hungary",1996,"From 2 to 5 years","216,000"
"Hungary",1996,"From 5 to 10 years","615,000"
"Hungary",1996,"Over 10 years","131,000"
"Malta",1996,"Total","166,182"
"Netherlands",1996,"Total","5,810,000"
"Netherlands",1996,"Less than 2 years","888,000"
"Netherlands",1996,"From 2 to 5 years","1,217,000"
"Netherlands",1996,"From 5 to 10 years","2,175,000"
"Netherlands",1996,"Over 10 years","1,530,000"
"Austria",1996,"Total","3,690,000"
"Poland",1996,"Total","8,054,448"
"Portugal",1996,"Total","4,003,000"
"Romania",1996,"Total","2,391,869"
"Slovenia",1996,"Total","728,000"
"Slovenia",1996,"Less than 2 years","118,000"
"Slovenia",1996,"From 2 to 5 years","155,000"
"Slovenia",1996,"From 5 to 10 years","300,000"
"Slovenia",1996,"Over 10 years","170,000"
"Slovakia",1996,"Total","1,058,425"
"Finland",1996,"Total","1,943,000"
"Sweden",1996,"Total","3,655,000"
"United Kingdom",1996,"Total","22,819,000"
"United Kingdom",1996,"Less than 2 years","3,658,000"
"United Kingdom",1996,"From 2 to 5 years","4,834,000"
"United Kingdom",1996,"From 5 to 10 years","8,545,000"
"United Kingdom",1996,"Over 10 years","5,200,000"
"Iceland",1996,"Total","125,000"
"Liechtenstein",1996,"Total","19,000"
"Norway",1996,"Total","1,661,000"
"Switzerland",1996,"Total","3,268,000"
"Switzerland",1996,"Less than 2 years","517,000"
"Switzerland",1996,"From 2 to 5 years","749,000"
"Switzerland",1996,"From 5 to 10 years","1,275,000"
"Switzerland",1996,"Over 10 years","726,000"
"Former Yugoslav Republic of Macedonia, the",1996,"Total","284,022"
"Former Yugoslav Republic of Macedonia, the",1996,"Less than 2 years","21,800"
"Former Yugoslav Republic of Macedonia, the",1996,"From 2 to 5 years","17,600"
"Former Yugoslav Republic of Macedonia, the",1996,"From 5 to 10 years","47,400"
"Former Yugoslav Republic of Macedonia, the",1996,"Over 10 years","197,100"
"Turkey",1996,"Total","3,274,156"
"Belgium",1997,"Total","4,415,000"
"Belgium",1997,"Less than 2 years","628,000"
"Belgium",1997,"From 2 to 5 years","991,000"
"Belgium",1997,"From 5 to 10 years","1,684,000"
"Belgium",1997,"Over 10 years","1,087,000"
"Bulgaria",1997,"Total","1,731,000"
"Czech Republic",1997,"Total","3,391,541"
"Czech Republic",1997,"Less than 2 years","297,187"
"Czech Republic",1997,"From 2 to 5 years","336,113"
"Czech Republic",1997,"From 5 to 10 years","719,810"
"Czech Republic",1997,"Over 10 years","2,038,431"
"Denmark",1997,"Total","1,783,000"
"Denmark",1997,"Less than 2 years","421,000"
"Denmark",1997,"From 2 to 5 years","293,000"
"Denmark",1997,"From 5 to 10 years","429,000"
"Denmark",1997,"Over 10 years","640,000"
"Germany (until 1990 former territory of the FRG)",1997,"Total","41,372,000"
"Germany (until 1990 former territory of the FRG)",1997,"Less than 2 years","5,378,000"
"Germany (until 1990 former territory of the FRG)",1997,"From 2 to 5 years","9,515,000"
"Germany (until 1990 former territory of the FRG)",1997,"From 5 to 10 years","15,418,000"
"Germany (until 1990 former territory of the FRG)",1997,"Over 10 years","11,060,000"
"Estonia",1997,"Total","427,678"
"Ireland",1997,"Total","1,134,400"
"Ireland",1997,"Less than 2 years","234,500"
"Ireland",1997,"From 2 to 5 years","238,500"
"Ireland",1997,"From 5 to 10 years","433,700"
"Ireland",1997,"Over 10 years","227,700"
"Greece",1997,"Total","2,500,000"
"Greece",1997,"Less than 2 years","308,000"
"Greece",1997,"From 2 to 5 years","407,000"
"Greece",1997,"From 5 to 10 years","692,000"
"Greece",1997,"Over 10 years","1,093,000"
"Spain",1997,"Less than 2 years","2,893,000"
"Spain",1997,"From 2 to 5 years","2,676,000"
"Spain",1997,"From 5 to 10 years","4,826,000"
"Spain",1997,"Over 10 years","4,902,000"
"France",1997,"Total","26,090,000"
"France",1997,"Less than 2 years","3,964,000"
"France",1997,"From 2 to 5 years","5,893,000"
"France",1997,"From 5 to 10 years","9,754,000"
"France",1997,"Over 10 years","6,479,000"
"Croatia",1997,"Total","932,000"
"Croatia",1997,"Less than 2 years","93,000"
"Croatia",1997,"From 2 to 5 years","60,000"
"Croatia",1997,"From 5 to 10 years","409,000"
"Croatia",1997,"Over 10 years","370,000"
"Italy",1997,"Total","30,748,000"
"Italy",1997,"Less than 2 years","4,200,000"
"Italy",1997,"From 2 to 5 years","4,980,000"
"Cyprus",1997,"Total","235,000"
"Cyprus",1997,"Less than 2 years","24,000"
"Cyprus",1997,"From 2 to 5 years","44,000"
"Cyprus",1997,"From 5 to 10 years","77,000"
"Cyprus",1997,"Over 10 years","90,000"
"Latvia",1997,"Total","431,816"
"Latvia",1997,"Less than 2 years","6,222"
"Latvia",1997,"From 2 to 5 years","11,680"
"Latvia",1997,"From 5 to 10 years","68,204"
"Lithuania",1997,"Total","882,101"
"Lithuania",1997,"Less than 2 years","4,700"
"Lithuania",1997,"From 2 to 5 years","10,500"
"Lithuania",1997,"From 5 to 10 years","125,600"
"Lithuania",1997,"Over 10 years","741,301"
"Hungary",1997,"Total","2,297,964"
"Hungary",1997,"Less than 2 years","140,589"
"Hungary",1997,"From 2 to 5 years","229,183"
"Hungary",1997,"From 5 to 10 years","533,541"
"Hungary",1997,"Over 10 years","1,394,561"
"Malta",1997,"Total","183,774"
"Malta",1997,"Over 10 years","75,976"
"Netherlands",1997,"Total","5,931,000"
"Netherlands",1997,"Less than 2 years","926,000"
"Netherlands",1997,"From 2 to 5 years","1,178,000"
"Netherlands",1997,"From 5 to 10 years","2,131,000"
"Netherlands",1997,"Over 10 years","1,696,000"
"Austria",1997,"Total","3,783,000"
"Austria",1997,"Less than 2 years","556,000"
"Austria",1997,"From 2 to 5 years","801,000"
"Austria",1997,"From 5 to 10 years","1,315,000"
"Austria",1997,"Over 10 years","1,112,000"
"Poland",1997,"Total","8,533,449"
"Portugal",1997,"Total","4,273,000"
"Romania",1997,"Total","2,605,465"
"Slovenia",1997,"Total","779,000"
"Slovenia",1997,"Less than 2 years","183,000"
"Slovenia",1997,"From 2 to 5 years","157,000"
"Slovenia",1997,"From 5 to 10 years","294,000"
"Slovenia",1997,"Over 10 years","145,000"
"Slovakia",1997,"Total","1,135,914"
"Finland",1997,"Total","1,948,000"
"Finland",1997,"Less than 2 years","200,000"
"Finland",1997,"From 2 to 5 years","207,000"
"Finland",1997,"From 5 to 10 years","630,000"
"Finland",1997,"Over 10 years","898,000"
"Sweden",1997,"Total","3,702,000"
"Sweden",1997,"Less than 2 years","447,000"
"Sweden",1997,"From 2 to 5 years","433,000"
"Sweden",1997,"From 5 to 10 years","1,125,000"
"Sweden",1997,"Over 10 years","1,697,000"
"United Kingdom",1997,"Total","23,450,000"
"United Kingdom",1997,"Less than 2 years","3,876,000"
"United Kingdom",1997,"From 2 to 5 years","5,133,000"
"United Kingdom",1997,"From 5 to 10 years","8,182,000"
"United Kingdom",1997,"Over 10 years","5,641,000"
"Iceland",1997,"Total","132,000"
"Iceland",1997,"Less than 2 years","26,000"
"Iceland",1997,"From 2 to 5 years","18,000"
"Iceland",1997,"From 5 to 10 years","52,000"
"Iceland",1997,"Over 10 years","35,000"
"Liechtenstein",1997,"Total","20,000"
"Norway",1997,"Total","1,758,000"
"Norway",1997,"Less than 2 years","250,000"
"Norway",1997,"From 2 to 5 years","243,000"
"Norway",1997,"From 5 to 10 years","321,000"
"Norway",1997,"Over 10 years","943,000"
"Switzerland",1997,"Total","3,323,000"
"Switzerland",1997,"Less than 2 years","519,000"
"Switzerland",1997,"From 2 to 5 years","736,000"
"Switzerland",1997,"From 5 to 10 years","1,271,000"
"Switzerland",1997,"Over 10 years","797,000"
"Former Yugoslav Republic of Macedonia, the",1997,"Total","289,204"
"Former Yugoslav Republic of Macedonia, the",1997,"Less than 2 years","17,500"
"Former Yugoslav Republic of Macedonia, the",1997,"From 2 to 5 years","26,200"
"Former Yugoslav Republic of Macedonia, the",1997,"From 5 to 10 years","46,600"
"Former Yugoslav Republic of Macedonia, the",1997,"Over 10 years","198,900"
"Turkey",1997,"Total","3,570,105"
"Belgium",1998,"Total","4,492,000"
"Belgium",1998,"Less than 2 years","658,000"
"Belgium",1998,"From 2 to 5 years","1,013,000"
"Belgium",1998,"From 5 to 10 years","1,633,000"
"Belgium",1998,"Over 10 years","1,187,000"
"Bulgaria",1998,"Total","1,809,000"
"Czech Republic",1998,"Total","3,492,961"
"Czech Republic",1998,"Less than 2 years","272,759"
"Czech Republic",1998,"From 2 to 5 years","378,467"
"Czech Republic",1998,"From 5 to 10 years","727,460"
"Czech Republic",1998,"Over 10 years","2,114,275"
"Denmark",1998,"Total","1,817,000"
"Denmark",1998,"Less than 2 years","445,000"
"Denmark",1998,"From 2 to 5 years","338,000"
"Denmark",1998,"From 5 to 10 years","395,000"
"Denmark",1998,"Over 10 years","640,000"
"Germany (until 1990 former territory of the FRG)",1998,"Total","41,674,000"
"Germany (until 1990 former territory of the FRG)",1998,"Less than 2 years","5,484,000"
"Germany (until 1990 former territory of the FRG)",1998,"From 2 to 5 years","9,807,000"
"Germany (until 1990 former territory of the FRG)",1998,"From 5 to 10 years","15,377,000"
"Germany (until 1990 former territory of the FRG)",1998,"Over 10 years","11,007,000"
