"Država","Leto","Druzina","Procenti"
"Greece",2004,"Two adults",15.9
"Greece",2004,"Three or more adults",10.6
"Greece",2004,"Households without dependent children",14.1
"Greece",2004,"Households with dependent children",9.2
"Spain",2004,"Total",7
"Spain",2004,"Single person",9.7
"Spain",2004,"Single female",7.3
"Spain",2004,"Single male",13.1
"Spain",2004,"Two adults",6.9
"Spain",2004,"Three or more adults",6.9
"Spain",2004,"Households without dependent children",7.4
"Spain",2004,"Households with dependent children",6.7
"France",2004,"Total",4.3
"France",2004,"Single person",9
"France",2004,"Single female",7.5
"France",2004,"Single male",11.4
"France",2004,"Two adults",3
"France",2004,"Three or more adults",5.4
"France",2004,"Households without dependent children",5.2
"France",2004,"Households with dependent children",3.5
"Italy",2004,"Total",2.9
"Italy",2004,"Single person",7
"Italy",2004,"Single female",7.2
"Italy",2004,"Single male",6.5
"Italy",2004,"Two adults",3.4
"Italy",2004,"Three or more adults",1.9
"Italy",2004,"Households without dependent children",3.6
"Italy",2004,"Households with dependent children",2.3
"Luxembourg",2004,"Total",1.3
"Luxembourg",2004,"Single person",4.1
"Luxembourg",2004,"Single female",3.6
"Luxembourg",2004,"Single male",4.9
"Luxembourg",2004,"Two adults",1.5
"Luxembourg",2004,"Three or more adults",0.1
"Luxembourg",2004,"Households without dependent children",1.9
"Luxembourg",2004,"Households with dependent children",0.9
"Austria",2004,"Total",5.6
"Austria",2004,"Single person",13.3
"Austria",2004,"Single female",13
"Austria",2004,"Single male",13.9
"Austria",2004,"Two adults",5
"Austria",2004,"Three or more adults",2.2
"Austria",2004,"Households without dependent children",6.7
"Austria",2004,"Households with dependent children",4.5
"Portugal",2004,"Total",12
"Portugal",2004,"Single person",15.6
"Portugal",2004,"Single female",15.1
"Portugal",2004,"Single male",16.5
"Portugal",2004,"Two adults",15.4
"Portugal",2004,"Three or more adults",9.9
"Portugal",2004,"Households without dependent children",13
"Portugal",2004,"Households with dependent children",11.2
"Finland",2004,"Total",9.2
"Finland",2004,"Single person",29.2
"Finland",2004,"Single female",35.3
"Finland",2004,"Single male",21
"Finland",2004,"Two adults",5.6
"Finland",2004,"Three or more adults",3
"Finland",2004,"Households without dependent children",13.4
"Finland",2004,"Households with dependent children",4.6
"Sweden",2004,"Total",5.3
"Sweden",2004,"Single person",10.7
"Sweden",2004,"Single female",12.5
"Sweden",2004,"Single male",8.7
"Sweden",2004,"Two adults",2.9
"Sweden",2004,"Three or more adults",1.7
"Sweden",2004,"Households without dependent children",6
"Sweden",2004,"Households with dependent children",4.6
"Iceland",2004,"Total",2.3
"Iceland",2004,"Single person",7.7
"Iceland",2004,"Single female",6.7
"Iceland",2004,"Single male",8.6
"Iceland",2004,"Two adults",1.5
"Iceland",2004,"Three or more adults",1.6
"Iceland",2004,"Households without dependent children",3.4
"Iceland",2004,"Households with dependent children",1.6
"Norway",2004,"Total",5.4
"Norway",2004,"Single person",13.8
"Norway",2004,"Single female",11.2
"Norway",2004,"Single male",16.6
"Norway",2004,"Two adults",3.1
"Norway",2004,"Three or more adults",1.8
"Norway",2004,"Households without dependent children",7.4
"Norway",2004,"Households with dependent children",3.6
"Euro area (19 countries)",2005,"Total",6.8
"Euro area (19 countries)",2005,"Single person",15.1
"Euro area (19 countries)",2005,"Single female",15.9
"Euro area (19 countries)",2005,"Single male",14
"Euro area (19 countries)",2005,"Two adults",5.3
"Euro area (19 countries)",2005,"Three or more adults",5.5
"Euro area (19 countries)",2005,"Households without dependent children",7.9
"Euro area (19 countries)",2005,"Households with dependent children",5.7
"Euro area (18 countries)",2005,"Total",6.6
"Euro area (18 countries)",2005,"Single person",15.1
"Euro area (18 countries)",2005,"Single female",15.9
"Euro area (18 countries)",2005,"Single male",13.8
"Euro area (18 countries)",2005,"Two adults",5.2
"Euro area (18 countries)",2005,"Three or more adults",5.3
"Euro area (18 countries)",2005,"Households without dependent children",7.8
"Euro area (18 countries)",2005,"Households with dependent children",5.5
"Belgium",2005,"Total",7.2
"Belgium",2005,"Single person",15.4
"Belgium",2005,"Single female",15.8
"Belgium",2005,"Single male",14.9
"Belgium",2005,"Two adults",4.5
"Belgium",2005,"Three or more adults",2.4
"Belgium",2005,"Households without dependent children",7.5
"Belgium",2005,"Households with dependent children",6.9
"Bulgaria",2005,"Total",39.7
"Bulgaria",2005,"Single person",51.2
"Bulgaria",2005,"Single female",53.8
"Bulgaria",2005,"Single male",47.1
"Bulgaria",2005,"Two adults",46.7
"Bulgaria",2005,"Three or more adults",33.4
"Bulgaria",2005,"Households without dependent children",41.6
"Bulgaria",2005,"Households with dependent children",38.2
"Czech Republic",2005,"Total",15.5
"Czech Republic",2005,"Single person",23.6
"Czech Republic",2005,"Single female",22.8
"Czech Republic",2005,"Single male",24.8
"Czech Republic",2005,"Two adults",15.1
"Czech Republic",2005,"Three or more adults",12.3
"Czech Republic",2005,"Households without dependent children",15.8
"Czech Republic",2005,"Households with dependent children",15.1
"Denmark",2005,"Total",9.1
"Denmark",2005,"Single person",19.1
"Denmark",2005,"Single female",19
"Denmark",2005,"Single male",19.3
"Denmark",2005,"Two adults",5.6
"Denmark",2005,"Three or more adults",5.2
"Denmark",2005,"Households without dependent children",11.2
"Denmark",2005,"Households with dependent children",6.8
"Germany (until 1990 former territory of the FRG)",2005,"Total",7.8
"Germany (until 1990 former territory of the FRG)",2005,"Single person",22.9
"Germany (until 1990 former territory of the FRG)",2005,"Single female",25.4
"Germany (until 1990 former territory of the FRG)",2005,"Single male",19.2
"Germany (until 1990 former territory of the FRG)",2005,"Two adults",4.9
"Germany (until 1990 former territory of the FRG)",2005,"Three or more adults",2.2
"Germany (until 1990 former territory of the FRG)",2005,"Households without dependent children",10.6
"Germany (until 1990 former territory of the FRG)",2005,"Households with dependent children",4.7
"Estonia",2005,"Total",28.7
"Estonia",2005,"Single person",36.5
"Estonia",2005,"Single female",36.5
"Estonia",2005,"Single male",36.7
"Estonia",2005,"Two adults",30.6
"Estonia",2005,"Three or more adults",28
"Estonia",2005,"Households without dependent children",31.8
"Estonia",2005,"Households with dependent children",26.4
"Ireland",2005,"Total",11.3
"Ireland",2005,"Single person",13.9
"Ireland",2005,"Single female",12.7
"Ireland",2005,"Single male",15.2
"Ireland",2005,"Two adults",8.9
"Ireland",2005,"Three or more adults",12.3
"Ireland",2005,"Households without dependent children",11.1
"Ireland",2005,"Households with dependent children",11.4
"Greece",2005,"Total",10
"Greece",2005,"Single person",16.4
"Greece",2005,"Single female",15.5
"Greece",2005,"Single male",18.3
"Greece",2005,"Two adults",13.9
"Greece",2005,"Three or more adults",9.4
"Greece",2005,"Households without dependent children",12.3
"Greece",2005,"Households with dependent children",7.7
"Spain",2005,"Total",6.4
"Spain",2005,"Single person",8.2
"Spain",2005,"Single female",8.1
"Spain",2005,"Single male",8.3
"Spain",2005,"Two adults",5.1
"Spain",2005,"Three or more adults",6.6
"Spain",2005,"Households without dependent children",6.3
"Spain",2005,"Households with dependent children",6.5
"France",2005,"Total",3.9
"France",2005,"Single person",8.2
"France",2005,"Single female",7.1
"France",2005,"Single male",9.9
"France",2005,"Two adults",2.5
"France",2005,"Three or more adults",4.3
"France",2005,"Households without dependent children",4.4
"France",2005,"Households with dependent children",3.4
"Italy",2005,"Total",2.8
"Italy",2005,"Single person",6.5
"Italy",2005,"Single female",7.2
"Italy",2005,"Single male",5.3
"Italy",2005,"Two adults",3.2
"Italy",2005,"Three or more adults",1.7
"Italy",2005,"Households without dependent children",3.4
"Italy",2005,"Households with dependent children",2.3
"Cyprus",2005,"Total",2.4
"Cyprus",2005,"Single person",6.7
"Cyprus",2005,"Single female",6
"Cyprus",2005,"Single male",7.9
"Cyprus",2005,"Two adults",5.5
"Cyprus",2005,"Three or more adults",2.8
"Cyprus",2005,"Households without dependent children",4.7
"Cyprus",2005,"Households with dependent children",1.2
"Latvia",2005,"Total",37.9
"Latvia",2005,"Single person",39.5
"Latvia",2005,"Single female",37.2
"Latvia",2005,"Single male",44.1
"Latvia",2005,"Two adults",46.1
"Latvia",2005,"Three or more adults",39.7
"Latvia",2005,"Households without dependent children",42.6
"Latvia",2005,"Households with dependent children",34.2
"Lithuania",2005,"Total",25.6
"Lithuania",2005,"Single person",21.1
"Lithuania",2005,"Single female",16
"Lithuania",2005,"Single male",31.1
"Lithuania",2005,"Two adults",22.1
"Lithuania",2005,"Three or more adults",30.7
"Lithuania",2005,"Households without dependent children",24
"Lithuania",2005,"Households with dependent children",26.6
"Luxembourg",2005,"Total",1.8
"Luxembourg",2005,"Single person",5.3
"Luxembourg",2005,"Single female",3.4
"Luxembourg",2005,"Single male",7.5
"Luxembourg",2005,"Two adults",1.3
"Luxembourg",2005,"Three or more adults",1.9
"Luxembourg",2005,"Households without dependent children",2.5
"Luxembourg",2005,"Households with dependent children",1.2
"Hungary",2005,"Total",22.5
"Hungary",2005,"Single person",25.3
"Hungary",2005,"Single female",25.7
"Hungary",2005,"Single male",24.4
"Hungary",2005,"Two adults",22.5
"Hungary",2005,"Three or more adults",18.2
"Hungary",2005,"Households without dependent children",21.9
"Hungary",2005,"Households with dependent children",23
"Malta",2005,"Total",3.3
"Malta",2005,"Single person",6.7
"Malta",2005,"Single female",6.6
"Malta",2005,"Single male",6.9
"Malta",2005,"Two adults",4.3
"Malta",2005,"Three or more adults",0.9
"Malta",2005,"Households without dependent children",3.3
"Malta",2005,"Households with dependent children",3.4
"Netherlands",2005,"Total",5.7
"Netherlands",2005,"Single person",16.4
"Netherlands",2005,"Single female",17.5
"Netherlands",2005,"Single male",15.1
"Netherlands",2005,"Two adults",3.3
"Netherlands",2005,"Three or more adults",4.5
"Netherlands",2005,"Households without dependent children",7.6
"Netherlands",2005,"Households with dependent children",3.9
"Austria",2005,"Total",4.3
"Austria",2005,"Single person",10.8
"Austria",2005,"Single female",8.5
"Austria",2005,"Single male",14.2
"Austria",2005,"Two adults",3.9
"Austria",2005,"Three or more adults",1.6
"Austria",2005,"Households without dependent children",5.4
"Austria",2005,"Households with dependent children",3.3
"Poland",2005,"Total",24.5
"Poland",2005,"Single person",29.7
"Poland",2005,"Single female",27.7
"Poland",2005,"Single male",33.7
"Poland",2005,"Two adults",27
"Poland",2005,"Three or more adults",27
"Poland",2005,"Households without dependent children",27.7
"Poland",2005,"Households with dependent children",22.6
"Portugal",2005,"Total",11.6
"Portugal",2005,"Single person",14.3
"Portugal",2005,"Single female",13.7
"Portugal",2005,"Single male",15.5
"Portugal",2005,"Two adults",13.2
"Portugal",2005,"Three or more adults",9.3
"Portugal",2005,"Households without dependent children",11.7
"Portugal",2005,"Households with dependent children",11.5
"Slovenia",2005,"Total",3.5
"Slovenia",2005,"Single person",11.6
"Slovenia",2005,"Single female",11
"Slovenia",2005,"Single male",13
"Slovenia",2005,"Two adults",5.5
"Slovenia",2005,"Three or more adults",2.9
"Slovenia",2005,"Households without dependent children",5.6
"Slovenia",2005,"Households with dependent children",2.1
"Slovakia",2005,"Total",28.5
"Slovakia",2005,"Single person",21.4
"Slovakia",2005,"Single female",21.1
"Slovakia",2005,"Single male",22.6
"Slovakia",2005,"Two adults",34.2
"Slovakia",2005,"Three or more adults",28.9
"Slovakia",2005,"Households without dependent children",29.2
"Slovakia",2005,"Households with dependent children",28.1
"Finland",2005,"Total",9.1
"Finland",2005,"Single person",28.7
"Finland",2005,"Single female",32.9
"Finland",2005,"Single male",22.8
"Finland",2005,"Two adults",5.9
"Finland",2005,"Three or more adults",1.9
"Finland",2005,"Households without dependent children",13.4
"Finland",2005,"Households with dependent children",4.4
"Sweden",2005,"Total",4.7
"Sweden",2005,"Single person",9.8
"Sweden",2005,"Single female",11.4
"Sweden",2005,"Single male",7.8
"Sweden",2005,"Two adults",2.4
"Sweden",2005,"Three or more adults",1.8
"Sweden",2005,"Households without dependent children",5.4
"Sweden",2005,"Households with dependent children",4.1
"United Kingdom",2005,"Total",5.3
"United Kingdom",2005,"Single person",7.2
"United Kingdom",2005,"Single female",7.3
"United Kingdom",2005,"Single male",7
"United Kingdom",2005,"Two adults",2.8
"United Kingdom",2005,"Three or more adults",5.3
"United Kingdom",2005,"Households without dependent children",4.5
"United Kingdom",2005,"Households with dependent children",6.1
"Iceland",2005,"Total",2.8
"Iceland",2005,"Single person",10.2
"Iceland",2005,"Single female",11
"Iceland",2005,"Single male",9.4
"Iceland",2005,"Two adults",2.4
"Iceland",2005,"Three or more adults",0.4
"Iceland",2005,"Households without dependent children",4.4
"Iceland",2005,"Households with dependent children",1.8
"Norway",2005,"Total",6.4
"Norway",2005,"Single person",16.5
"Norway",2005,"Single female",15.6
"Norway",2005,"Single male",17.4
"Norway",2005,"Two adults",3.1
"Norway",2005,"Three or more adults",2.4
"Norway",2005,"Households without dependent children",8.5
"Norway",2005,"Households with dependent children",4.5
"Euro area (19 countries)",2006,"Total",6
"Euro area (19 countries)",2006,"Single person",12
"Euro area (19 countries)",2006,"Single female",12.5
"Euro area (19 countries)",2006,"Single male",11.4
"Euro area (19 countries)",2006,"Two adults",4.6
"Euro area (19 countries)",2006,"Three or more adults",5.1
"Euro area (19 countries)",2006,"Households without dependent children",6.7
"Euro area (19 countries)",2006,"Households with dependent children",5.4
"Euro area (18 countries)",2006,"Total",5.8
"Euro area (18 countries)",2006,"Single person",12
"Euro area (18 countries)",2006,"Single female",12.4
"Euro area (18 countries)",2006,"Single male",11.2
"Euro area (18 countries)",2006,"Two adults",4.5
"Euro area (18 countries)",2006,"Three or more adults",4.9
"Euro area (18 countries)",2006,"Households without dependent children",6.5
"Euro area (18 countries)",2006,"Households with dependent children",5.1
"Belgium",2006,"Total",6.8
"Belgium",2006,"Single person",16
"Belgium",2006,"Single female",18.1
"Belgium",2006,"Single male",13.5
"Belgium",2006,"Two adults",3.7
"Belgium",2006,"Three or more adults",2.7
"Belgium",2006,"Households without dependent children",7.2
"Belgium",2006,"Households with dependent children",6.3
"Bulgaria",2006,"Total",39.7
"Bulgaria",2006,"Single person",51.2
"Bulgaria",2006,"Single female",53.8
"Bulgaria",2006,"Single male",47.1
"Bulgaria",2006,"Two adults",46.7
"Bulgaria",2006,"Three or more adults",33.4
"Bulgaria",2006,"Households without dependent children",41.6
"Bulgaria",2006,"Households with dependent children",38.2
"Czech Republic",2006,"Total",13.4
"Czech Republic",2006,"Single person",19.4
"Czech Republic",2006,"Single female",19.4
"Czech Republic",2006,"Single male",19.4
"Czech Republic",2006,"Two adults",11.7
"Czech Republic",2006,"Three or more adults",10.8
"Czech Republic",2006,"Households without dependent children",12.9
"Czech Republic",2006,"Households with dependent children",13.9
"Denmark",2006,"Total",9.6
"Denmark",2006,"Single person",20.6
"Denmark",2006,"Single female",21.5
"Denmark",2006,"Single male",19.7
"Denmark",2006,"Two adults",6.1
"Denmark",2006,"Three or more adults",2.8
"Denmark",2006,"Households without dependent children",12
"Denmark",2006,"Households with dependent children",7
"Germany (until 1990 former territory of the FRG)",2006,"Total",5.8
"Germany (until 1990 former territory of the FRG)",2006,"Single person",13.7
"Germany (until 1990 former territory of the FRG)",2006,"Single female",14.6
"Germany (until 1990 former territory of the FRG)",2006,"Single male",12.4
"Germany (until 1990 former territory of the FRG)",2006,"Two adults",3.7
"Germany (until 1990 former territory of the FRG)",2006,"Three or more adults",1.9
"Germany (until 1990 former territory of the FRG)",2006,"Households without dependent children",6.8
"Germany (until 1990 former territory of the FRG)",2006,"Households with dependent children",4.7
"Estonia",2006,"Total",20.8
"Estonia",2006,"Single person",29.1
"Estonia",2006,"Single female",29.9
"Estonia",2006,"Single male",27.7
"Estonia",2006,"Two adults",20.4
"Estonia",2006,"Three or more adults",21.5
"Estonia",2006,"Households without dependent children",23.5
"Estonia",2006,"Households with dependent children",18.6
"Ireland",2006,"Total",10.4
"Ireland",2006,"Single person",12.1
"Ireland",2006,"Single female",9.1
"Ireland",2006,"Single male",15
"Ireland",2006,"Two adults",8.9
"Ireland",2006,"Three or more adults",9.7
"Ireland",2006,"Households without dependent children",9.8
"Ireland",2006,"Households with dependent children",10.7
"Greece",2006,"Total",9.1
"Greece",2006,"Single person",18.3
"Greece",2006,"Single female",16.1
"Greece",2006,"Single male",22.7
"Greece",2006,"Two adults",13.2
"Greece",2006,"Three or more adults",8
"Greece",2006,"Households without dependent children",11.6
"Greece",2006,"Households with dependent children",6.6
"Spain",2006,"Total",5.8
"Spain",2006,"Single person",8.8
"Spain",2006,"Single female",8.3
"Spain",2006,"Single male",9.6
"Spain",2006,"Two adults",4.6
"Spain",2006,"Three or more adults",5.6
"Spain",2006,"Households without dependent children",5.8
"Spain",2006,"Households with dependent children",5.9
"France",2006,"Total",3.7
"France",2006,"Single person",7.8
"France",2006,"Single female",7.3
"France",2006,"Single male",8.7
"France",2006,"Two adults",2.2
"France",2006,"Three or more adults",5.6
"France",2006,"Households without dependent children",4.2
"France",2006,"Households with dependent children",3.3
"Italy",2006,"Total",2.7
"Italy",2006,"Single person",6.8
"Italy",2006,"Single female",7.5
"Italy",2006,"Single male",5.6
"Italy",2006,"Two adults",2.9
"Italy",2006,"Three or more adults",2.1
"Italy",2006,"Households without dependent children",3.5
"Italy",2006,"Households with dependent children",2
"Cyprus",2006,"Total",2
"Cyprus",2006,"Single person",6
"Cyprus",2006,"Single female",4.9
"Cyprus",2006,"Single male",8.1
"Cyprus",2006,"Two adults",2.8
"Cyprus",2006,"Three or more adults",1.8
"Cyprus",2006,"Households without dependent children",2.9
"Cyprus",2006,"Households with dependent children",1.5
"Latvia",2006,"Total",34.1
"Latvia",2006,"Single person",37.8
"Latvia",2006,"Single female",36.6
"Latvia",2006,"Single male",40.8
"Latvia",2006,"Two adults",39.9
"Latvia",2006,"Three or more adults",32.3
"Latvia",2006,"Households without dependent children",36.9
"Latvia",2006,"Households with dependent children",31.9
"Lithuania",2006,"Total",21.7
"Lithuania",2006,"Single person",21.6
"Lithuania",2006,"Single female",18.1
"Lithuania",2006,"Single male",29.5
"Lithuania",2006,"Two adults",20.2
"Lithuania",2006,"Three or more adults",26.1
"Lithuania",2006,"Households without dependent children",22.2
"Lithuania",2006,"Households with dependent children",21.4
"Luxembourg",2006,"Total",1.3
"Luxembourg",2006,"Single person",4.5
"Luxembourg",2006,"Single female",3.9
"Luxembourg",2006,"Single male",5.3
"Luxembourg",2006,"Two adults",0.9
"Luxembourg",2006,"Three or more adults",0
"Luxembourg",2006,"Households without dependent children",1.7
"Luxembourg",2006,"Households with dependent children",1.1
"Hungary",2006,"Total",23.3
"Hungary",2006,"Single person",28.7
"Hungary",2006,"Single female",27.4
"Hungary",2006,"Single male",31.8
"Hungary",2006,"Two adults",22.4
"Hungary",2006,"Three or more adults",16.1
"Hungary",2006,"Households without dependent children",21.7
"Hungary",2006,"Households with dependent children",24.5
"Malta",2006,"Total",2.8
"Malta",2006,"Single person",7
"Malta",2006,"Single female",6.4
"Malta",2006,"Single male",8
"Malta",2006,"Two adults",2.9
"Malta",2006,"Three or more adults",1.2
"Malta",2006,"Households without dependent children",2.8
"Malta",2006,"Households with dependent children",2.8
"Netherlands",2006,"Total",5.5
"Netherlands",2006,"Single person",16.1
"Netherlands",2006,"Single female",18.1
"Netherlands",2006,"Single male",13.5
"Netherlands",2006,"Two adults",2.7
"Netherlands",2006,"Three or more adults",2.4
"Netherlands",2006,"Households without dependent children",6.9
"Netherlands",2006,"Households with dependent children",4.3
"Austria",2006,"Total",4.8
"Austria",2006,"Single person",10.3
"Austria",2006,"Single female",9.7
"Austria",2006,"Single male",11.1
"Austria",2006,"Two adults",3.5
"Austria",2006,"Three or more adults",2.3
"Austria",2006,"Households without dependent children",5.2
"Austria",2006,"Households with dependent children",4.3
"Poland",2006,"Total",22.6
"Poland",2006,"Single person",25.3
"Poland",2006,"Single female",23.6
"Poland",2006,"Single male",28.6
"Poland",2006,"Two adults",25.2
"Poland",2006,"Three or more adults",25.9
"Poland",2006,"Households without dependent children",25.5
"Poland",2006,"Households with dependent children",20.9
"Portugal",2006,"Total",10.9
"Portugal",2006,"Single person",13.9
"Portugal",2006,"Single female",11.7
"Portugal",2006,"Single male",18.3
"Portugal",2006,"Two adults",13.7
"Portugal",2006,"Three or more adults",8.6
"Portugal",2006,"Households without dependent children",11.7
"Portugal",2006,"Households with dependent children",10.3
"Slovenia",2006,"Total",3.4
"Slovenia",2006,"Single person",12.5
"Slovenia",2006,"Single female",12
"Slovenia",2006,"Single male",13.4
"Slovenia",2006,"Two adults",5.7
"Slovenia",2006,"Three or more adults",3
"Slovenia",2006,"Households without dependent children",5.7
"Slovenia",2006,"Households with dependent children",1.7
"Slovakia",2006,"Total",27.6
"Slovakia",2006,"Single person",34.1
"Slovakia",2006,"Single female",32.2
"Slovakia",2006,"Single male",40.5
"Slovakia",2006,"Two adults",32.7
"Slovakia",2006,"Three or more adults",25.4
"Slovakia",2006,"Households without dependent children",29.9
"Slovakia",2006,"Households with dependent children",26.1
"Finland",2006,"Total",8.5
"Finland",2006,"Single person",27.9
"Finland",2006,"Single female",33.3
"Finland",2006,"Single male",20.2
"Finland",2006,"Two adults",5.2
"Finland",2006,"Three or more adults",3.4
"Finland",2006,"Households without dependent children",12.8
"Finland",2006,"Households with dependent children",3.7
"Sweden",2006,"Total",4.4
"Sweden",2006,"Single person",10
"Sweden",2006,"Single female",10.8
"Sweden",2006,"Single male",9
"Sweden",2006,"Two adults",2.4
"Sweden",2006,"Three or more adults",0.5
"Sweden",2006,"Households without dependent children",5.4
"Sweden",2006,"Households with dependent children",3.5
"United Kingdom",2006,"Total",5
"United Kingdom",2006,"Single person",6.7
"United Kingdom",2006,"Single female",6.1
"United Kingdom",2006,"Single male",7.4
"United Kingdom",2006,"Two adults",2.6
"United Kingdom",2006,"Three or more adults",3.9
"United Kingdom",2006,"Households without dependent children",3.9
"United Kingdom",2006,"Households with dependent children",6.2
"Iceland",2006,"Total",1.9
"Iceland",2006,"Single person",7.5
"Iceland",2006,"Single female",8.2
"Iceland",2006,"Single male",6.9
"Iceland",2006,"Two adults",1.6
"Iceland",2006,"Three or more adults",0
"Iceland",2006,"Households without dependent children",3.1
"Iceland",2006,"Households with dependent children",1.1
"Norway",2006,"Total",5
"Norway",2006,"Single person",12.1
"Norway",2006,"Single female",12.8
"Norway",2006,"Single male",11.4
"Norway",2006,"Two adults",2.5
"Norway",2006,"Three or more adults",2.6
"Norway",2006,"Households without dependent children",6.5
"Norway",2006,"Households with dependent children",3.5
"Turkey",2006,"Total",60.7
"Turkey",2006,"Single person",36.8
"Turkey",2006,"Single female",32.8
"Turkey",2006,"Single male",45.6
"Turkey",2006,"Two adults",51.1
"Turkey",2006,"Three or more adults",53.2
"Turkey",2006,"Households without dependent children",51
"Turkey",2006,"Households with dependent children",63
"European Union (27 countries)",2007,"Total",9.8
"European Union (27 countries)",2007,"Single person",13.6
"European Union (27 countries)",2007,"Single female",14.2
"European Union (27 countries)",2007,"Single male",12.7
"European Union (27 countries)",2007,"Two adults",7.4
"European Union (27 countries)",2007,"Three or more adults",9.2
"European Union (27 countries)",2007,"Households without dependent children",9.5
"European Union (27 countries)",2007,"Households with dependent children",10
"Euro area (19 countries)",2007,"Total",5.5
"Euro area (19 countries)",2007,"Single person",11.5
"Euro area (19 countries)",2007,"Single female",12.2
"Euro area (19 countries)",2007,"Single male",10.5
"Euro area (19 countries)",2007,"Two adults",4.3
"Euro area (19 countries)",2007,"Three or more adults",4.2
"Euro area (19 countries)",2007,"Households without dependent children",6.2
"Euro area (19 countries)",2007,"Households with dependent children",4.8
"Euro area (18 countries)",2007,"Total",5.4
"Euro area (18 countries)",2007,"Single person",11.5
"Euro area (18 countries)",2007,"Single female",12.2
"Euro area (18 countries)",2007,"Single male",10.5
"Euro area (18 countries)",2007,"Two adults",4.3
"Euro area (18 countries)",2007,"Three or more adults",4
"Euro area (18 countries)",2007,"Households without dependent children",6.2
"Euro area (18 countries)",2007,"Households with dependent children",4.7
"Belgium",2007,"Total",6.6
"Belgium",2007,"Single person",16.3
"Belgium",2007,"Single female",17.5
"Belgium",2007,"Single male",14.9
"Belgium",2007,"Two adults",3.5
"Belgium",2007,"Three or more adults",4.3
"Belgium",2007,"Households without dependent children",7.5
"Belgium",2007,"Households with dependent children",5.8
"Bulgaria",2007,"Total",38.7
"Bulgaria",2007,"Single person",45.4
"Bulgaria",2007,"Single female",43.2
"Bulgaria",2007,"Single male",48.9
