"Država","Leto","Gorivo","Število"
"Iceland",1991,"Diesel","6,000"
"Iceland",1991,"Electrical Energy","0"
"Liechtenstein",1991,"Total","17,330"
"Norway",1991,"Total","1,615,000"
"Norway",1991,"All Petroleum Products","1,562,000"
"Norway",1991,"Diesel","53,000"
"Switzerland",1991,"Total","3,058,000"
"Switzerland",1991,"All Petroleum Products","2,975,000"
"Switzerland",1991,"Diesel","82,000"
"Switzerland",1991,"Electrical Energy","1,000"
"Former Yugoslav Republic of Macedonia, the",1991,"Total","249,654"
"Turkey",1991,"Total","1,864,344"
"Belgium",1992,"Total","4,021,000"
"Belgium",1992,"All Petroleum Products","2,800,000"
"Belgium",1992,"Diesel","1,144,000"
"Belgium",1992,"Electrical Energy","0"
"Bulgaria",1992,"Total","1,411,000"
"Denmark",1992,"Total","1,605,000"
"Denmark",1992,"All Petroleum Products","1,527,000"
"Denmark",1992,"Diesel","76,000"
"Estonia",1992,"Total","283,469"
"Ireland",1992,"Total","858,498"
"Ireland",1992,"All Petroleum Products","756,941"
"Ireland",1992,"Diesel","99,795"
"Greece",1992,"Total","1,829,000"
"Spain",1992,"Total","13,102,000"
"France",1992,"Total","24,020,000"
"France",1992,"Diesel","4,876,000"
"Croatia",1992,"Total","669,761"
"Italy",1992,"Total","29,430,000"
"Cyprus",1992,"Total","198,000"
"Cyprus",1992,"LPG","0"
"Cyprus",1992,"Electrical Energy","0"
"Latvia",1992,"Total","350,000"
"Lithuania",1992,"Total","565,320"
"Luxembourg",1992,"Total","209,000"
"Hungary",1992,"Total","2,058,334"
"Hungary",1992,"All Petroleum Products","1,977,000"
"Hungary",1992,"Diesel","81,000"
"Hungary",1992,"Electrical Energy","0"
"Malta",1992,"Total","125,037"
"Netherlands",1992,"Total","5,658,000"
"Austria",1992,"Total","3,245,000"
"Austria",1992,"All Petroleum Products","2,709,000"
"Austria",1992,"Diesel","536,000"
"Poland",1992,"Total","6,504,716"
"Portugal",1992,"Total","3,050,000"
"Romania",1992,"Total","1,593,029"
"Slovenia",1992,"Total","606,000"
"Slovenia",1992,"All Petroleum Products","554,000"
"Slovenia",1992,"Diesel","50,000"
"Slovakia",1992,"Total","953,239"
"Finland",1992,"Total","1,936,000"
"Finland",1992,"All Petroleum Products","1,774,000"
"Finland",1992,"Diesel","147,000"
"Finland",1992,"Electrical Energy","0"
"Sweden",1992,"Total","3,587,000"
"Sweden",1992,"All Petroleum Products","3,492,000"
"Sweden",1992,"Diesel","93,000"
"United Kingdom",1992,"Total","20,970,000"
"United Kingdom",1992,"All Petroleum Products","20,021,000"
"United Kingdom",1992,"Diesel","949,000"
"Iceland",1992,"Total","120,000"
"Iceland",1992,"All Petroleum Products","114,000"
"Iceland",1992,"Diesel","6,000"
"Iceland",1992,"Electrical Energy","0"
"Liechtenstein",1992,"Total","17,700"
"Norway",1992,"Total","1,619,000"
"Norway",1992,"All Petroleum Products","1,561,000"
"Norway",1992,"Diesel","58,000"
"Switzerland",1992,"Total","3,091,000"
"Switzerland",1992,"All Petroleum Products","3,006,000"
"Switzerland",1992,"Diesel","84,000"
"Switzerland",1992,"Electrical Energy","1,000"
"Former Yugoslav Republic of Macedonia, the",1992,"Total","279,861"
"Turkey",1992,"Total","2,181,388"
"Belgium",1993,"Total","4,110,000"
"Belgium",1993,"All Petroleum Products","2,831,000"
"Belgium",1993,"Diesel","1,202,000"
"Belgium",1993,"Electrical Energy","0"
"Bulgaria",1993,"Total","1,505,000"
"Czech Republic",1993,"Total","2,833,143"
"Czech Republic",1993,"All Petroleum Products","2,654,296"
"Czech Republic",1993,"Diesel","170,192"
"Czech Republic",1993,"Electrical Energy","0"
"Denmark",1993,"Total","1,618,000"
"Denmark",1993,"All Petroleum Products","1,541,000"
"Denmark",1993,"Diesel","76,000"
"Germany (until 1990 former territory of the FRG)",1993,"Total","38,772,000"
"Germany (until 1990 former territory of the FRG)",1993,"All Petroleum Products","33,678,000"
"Germany (until 1990 former territory of the FRG)",1993,"Diesel","5,080,000"
"Germany (until 1990 former territory of the FRG)",1993,"Electrical Energy","2,000"
"Estonia",1993,"Total","317,425"
"Ireland",1993,"Total","891,027"
"Ireland",1993,"All Petroleum Products","777,628"
"Ireland",1993,"Diesel","111,530"
"Greece",1993,"Total","1,959,000"
"Greece",1993,"All Petroleum Products","1,929,000"
"Greece",1993,"Diesel","27,000"
"Spain",1993,"Total","13,441,000"
"Spain",1993,"All Petroleum Products","11,839,000"
"Spain",1993,"Diesel","1,602,000"
"France",1993,"Total","24,385,000"
"France",1993,"Diesel","5,536,000"
"Croatia",1993,"Total","646,000"
"Croatia",1993,"All Petroleum Products","529,000"
"Croatia",1993,"Diesel","117,000"
"Italy",1993,"Total","29,652,000"
"Cyprus",1993,"Total","203,000"
"Cyprus",1993,"LPG","0"
"Cyprus",1993,"Electrical Energy","0"
"Latvia",1993,"Total","367,475"
"Latvia",1993,"All Petroleum Products","203,600"
"Latvia",1993,"Diesel","3,500"
"Latvia",1993,"Electrical Energy","0"
"Lithuania",1993,"Total","597,740"
"Luxembourg",1993,"Total","218,000"
"Luxembourg",1993,"All Petroleum Products","181,000"
"Luxembourg",1993,"Diesel","36,000"
"Luxembourg",1993,"Electrical Energy","0"
"Hungary",1993,"Total","2,093,529"
"Hungary",1993,"Diesel","121,000"
"Hungary",1993,"Electrical Energy","0"
"Malta",1993,"Total","152,613"
"Netherlands",1993,"Total","5,456,000"
"Netherlands",1993,"All Petroleum Products","4,405,000"
"Netherlands",1993,"Diesel","591,000"
"Austria",1993,"Total","3,367,000"
"Austria",1993,"All Petroleum Products","2,749,000"
"Austria",1993,"Diesel","618,000"
"Poland",1993,"Total","6,770,557"
"Portugal",1993,"Total","3,295,000"
"Romania",1993,"Total","1,793,054"
"Slovenia",1993,"Total","632,563"
"Slovenia",1993,"All Petroleum Products","577,654"
"Slovenia",1993,"Diesel","49,289"
"Slovenia",1993,"Electrical Energy","1"
"Slovakia",1993,"Total","994,933"
"Finland",1993,"Total","1,873,000"
"Finland",1993,"All Petroleum Products","1,715,000"
"Finland",1993,"Diesel","143,000"
"Finland",1993,"Electrical Energy","0"
"Sweden",1993,"Total","3,566,000"
"Sweden",1993,"All Petroleum Products","3,472,000"
"Sweden",1993,"Diesel","93,000"
"United Kingdom",1993,"Total","21,288,000"
"United Kingdom",1993,"All Petroleum Products","20,032,000"
"United Kingdom",1993,"Diesel","1,225,000"
"Iceland",1993,"Total","116,000"
"Iceland",1993,"All Petroleum Products","110,000"
"Iceland",1993,"Diesel","6,000"
"Iceland",1993,"Electrical Energy","0"
"Liechtenstein",1993,"Total","17,770"
"Norway",1993,"Total","1,633,000"
"Norway",1993,"All Petroleum Products","1,565,000"
"Norway",1993,"Diesel","68,000"
"Switzerland",1993,"Total","3,110,000"
"Switzerland",1993,"All Petroleum Products","3,023,000"
"Switzerland",1993,"Diesel","86,000"
"Switzerland",1993,"Electrical Energy","1,000"
"Former Yugoslav Republic of Macedonia, the",1993,"Total","289,979"
"Former Yugoslav Republic of Macedonia, the",1993,"All Petroleum Products","282,418"
"Former Yugoslav Republic of Macedonia, the",1993,"Diesel","6,073"
"Former Yugoslav Republic of Macedonia, the",1993,"Electrical Energy","2,000"
"Turkey",1993,"Total","2,619,852"
"Belgium",1994,"Total","4,210,000"
"Belgium",1994,"All Petroleum Products","2,853,000"
"Belgium",1994,"Diesel","1,306,000"
"Belgium",1994,"Electrical Energy","0"
"Bulgaria",1994,"Total","1,588,000"
"Czech Republic",1994,"Total","2,923,916"
"Czech Republic",1994,"All Petroleum Products","2,729,374"
"Czech Republic",1994,"Diesel","185,783"
"Czech Republic",1994,"Electrical Energy","0"
"Denmark",1994,"Total","1,611,000"
"Denmark",1994,"All Petroleum Products","1,534,000"
"Denmark",1994,"Diesel","76,000"
"Germany (until 1990 former territory of the FRG)",1994,"Total","39,765,000"
"Germany (until 1990 former territory of the FRG)",1994,"All Petroleum Products","34,394,000"
"Germany (until 1990 former territory of the FRG)",1994,"Diesel","5,358,000"
"Germany (until 1990 former territory of the FRG)",1994,"Electrical Energy","2,000"
"Estonia",1994,"Total","337,812"
"Ireland",1994,"Total","939,022"
"Ireland",1994,"All Petroleum Products","813,537"
"Ireland",1994,"Diesel","123,787"
"Greece",1994,"Total","2,074,000"
"Greece",1994,"All Petroleum Products","2,043,000"
"Greece",1994,"Diesel","28,000"
"Spain",1994,"Total","13,734,000"
"Spain",1994,"All Petroleum Products","11,928,000"
"Spain",1994,"Diesel","1,806,000"
"France",1994,"Total","24,900,000"
"France",1994,"Diesel","6,938,000"
"Croatia",1994,"Total","698,000"
"Croatia",1994,"All Petroleum Products","572,000"
"Croatia",1994,"Diesel","126,000"
"Italy",1994,"Total","29,665,000"
"Cyprus",1994,"Total","210,000"
"Cyprus",1994,"All Petroleum Products","195,000"
"Cyprus",1994,"LPG","0"
"Cyprus",1994,"Diesel","15,000"
"Cyprus",1994,"Electrical Energy","0"
"Latvia",1994,"Total","251,590"
"Latvia",1994,"All Petroleum Products","247,400"
"Latvia",1994,"Diesel","4,000"
"Latvia",1994,"Electrical Energy","0"
"Lithuania",1994,"Total","652,810"
"Luxembourg",1994,"Total","229,000"
"Luxembourg",1994,"All Petroleum Products","188,000"
"Luxembourg",1994,"Diesel","40,000"
"Luxembourg",1994,"Electrical Energy","0"
"Hungary",1994,"Total","2,178,891"
"Hungary",1994,"Diesel","151,000"
"Hungary",1994,"Electrical Energy","0"
"Malta",1994,"Total","170,635"
"Netherlands",1994,"Total","5,581,000"
"Netherlands",1994,"All Petroleum Products","4,596,000"
"Netherlands",1994,"Diesel","608,000"
"Austria",1994,"Total","3,479,000"
"Austria",1994,"All Petroleum Products","2,762,000"
"Austria",1994,"Diesel","717,000"
"Poland",1994,"Total","7,153,141"
"Portugal",1994,"Total","3,532,000"
"Romania",1994,"Total","2,020,017"
"Slovenia",1994,"Total","657,287"
"Slovenia",1994,"All Petroleum Products","602,579"
"Slovenia",1994,"Diesel","53,024"
"Slovenia",1994,"Electrical Energy","2"
"Slovakia",1994,"Total","994,046"
"Finland",1994,"Total","1,873,000"
"Finland",1994,"All Petroleum Products","1,717,000"
"Finland",1994,"Diesel","141,000"
"Finland",1994,"Electrical Energy","0"
"Sweden",1994,"Total","3,594,000"
"Sweden",1994,"All Petroleum Products","3,499,000"
"Sweden",1994,"Diesel","95,000"
"United Kingdom",1994,"Total","21,740,000"
"United Kingdom",1994,"All Petroleum Products","20,090,000"
"United Kingdom",1994,"Diesel","1,608,000"
"United Kingdom",1994,"Electrical Energy","0"
"Iceland",1994,"Total","116,000"
"Iceland",1994,"All Petroleum Products","110,000"
"Iceland",1994,"Diesel","6,000"
"Iceland",1994,"Electrical Energy","0"
"Liechtenstein",1994,"Total","18,260"
"Norway",1994,"Total","1,654,000"
"Norway",1994,"All Petroleum Products","1,577,000"
"Norway",1994,"Diesel","77,000"
"Switzerland",1994,"Total","3,165,000"
"Switzerland",1994,"All Petroleum Products","3,073,000"
"Switzerland",1994,"Diesel","91,000"
"Switzerland",1994,"Electrical Energy","1,000"
"Former Yugoslav Republic of Macedonia, the",1994,"Total","263,181"
"Former Yugoslav Republic of Macedonia, the",1994,"All Petroleum Products","256,145"
"Former Yugoslav Republic of Macedonia, the",1994,"Diesel","5,800"
"Former Yugoslav Republic of Macedonia, the",1994,"Electrical Energy","1,000"
"Turkey",1994,"Total","2,861,640"
"Belgium",1995,"Total","4,273,000"
"Belgium",1995,"All Petroleum Products","2,828,000"
"Belgium",1995,"Diesel","1,394,000"
"Belgium",1995,"Electrical Energy","0"
"Bulgaria",1995,"Total","1,648,000"
"Czech Republic",1995,"Total","3,043,320"
"Czech Republic",1995,"All Petroleum Products","2,833,720"
"Czech Republic",1995,"Diesel","200,810"
"Czech Republic",1995,"Electrical Energy","0"
"Denmark",1995,"Total","1,679,000"
"Denmark",1995,"All Petroleum Products","1,600,000"
"Denmark",1995,"Diesel","78,000"
"Germany (until 1990 former territory of the FRG)",1995,"Total","40,404,000"
"Germany (until 1990 former territory of the FRG)",1995,"All Petroleum Products","34,855,000"
"Germany (until 1990 former territory of the FRG)",1995,"Diesel","5,545,000"
"Germany (until 1990 former territory of the FRG)",1995,"Electrical Energy","2,000"
"Estonia",1995,"Total","383,444"
"Ireland",1995,"Total","990,384"
"Ireland",1995,"All Petroleum Products","853,600"
"Ireland",1995,"Diesel","135,300"
"Greece",1995,"Total","2,205,000"
"Greece",1995,"All Petroleum Products","2,173,000"
"Greece",1995,"Diesel","29,000"
"Spain",1995,"Total","14,212,000"
"Spain",1995,"All Petroleum Products","12,153,000"
"Spain",1995,"Diesel","2,059,000"
"France",1995,"Total","25,100,000"
"France",1995,"Diesel","6,938,000"
"Croatia",1995,"Total","711,000"
"Croatia",1995,"All Petroleum Products","583,000"
"Croatia",1995,"Diesel","128,000"
"Italy",1995,"Total","30,301,000"
"Italy",1995,"All Petroleum Products","25,769,000"
"Italy",1995,"LPG","1,433,000"
"Italy",1995,"Diesel","3,099,000"
"Cyprus",1995,"Total","220,000"
"Cyprus",1995,"All Petroleum Products","203,000"
"Cyprus",1995,"LPG","0"
"Cyprus",1995,"Diesel","17,000"
"Cyprus",1995,"Electrical Energy","0"
"Latvia",1995,"Total","332,000"
"Latvia",1995,"All Petroleum Products","325,000"
"Latvia",1995,"Diesel","7,000"
"Latvia",1995,"Electrical Energy","0"
"Lithuania",1995,"Total","718,469"
"Hungary",1995,"Total","2,244,946"
"Hungary",1995,"All Petroleum Products","2,059,570"
"Hungary",1995,"Diesel","18,465"
"Hungary",1995,"Electrical Energy","0"
"Malta",1995,"Total","180,851"
"Netherlands",1995,"Total","5,664,000"
"Netherlands",1995,"All Petroleum Products","4,682,000"
"Netherlands",1995,"Diesel","623,000"
"Austria",1995,"Total","3,594,000"
"Austria",1995,"All Petroleum Products","2,767,000"
"Austria",1995,"Diesel","827,000"
"Austria",1995,"Electrical Energy","0"
"Poland",1995,"Total","7,517,266"
"Poland",1995,"All Petroleum Products","6,771,000"
"Poland",1995,"Diesel","736,000"
"Poland",1995,"Electrical Energy","10,000"
"Portugal",1995,"Total","3,751,000"
"Romania",1995,"Total","2,197,477"
"Romania",1995,"All Petroleum Products","2,032,250"
"Romania",1995,"Diesel","165,227"
"Romania",1995,"Electrical Energy","0"
"Slovenia",1995,"Total","698,212"
"Slovenia",1995,"All Petroleum Products","641,000"
"Slovenia",1995,"Diesel","56,000"
"Slovenia",1995,"Electrical Energy","0"
"Slovakia",1995,"Total","1,015,794"
"Finland",1995,"Total","1,901,000"
"Finland",1995,"All Petroleum Products","1,742,000"
"Finland",1995,"Diesel","143,000"
"Finland",1995,"Electrical Energy","0"
"Sweden",1995,"Total","3,631,000"
"Sweden",1995,"All Petroleum Products","3,534,000"
"Sweden",1995,"Diesel","96,000"
"United Kingdom",1995,"Total","21,951,000"
"United Kingdom",1995,"All Petroleum Products","19,533,000"
"United Kingdom",1995,"Diesel","1,891,000"
"United Kingdom",1995,"Electrical Energy","0"
"Iceland",1995,"Total","119,000"
"Iceland",1995,"All Petroleum Products","113,000"
"Iceland",1995,"Diesel","6,000"
"Liechtenstein",1995,"Total","19,000"
"Liechtenstein",1995,"All Petroleum Products","18,000"
"Liechtenstein",1995,"Diesel","1,000"
"Liechtenstein",1995,"Electrical Energy","0"
"Norway",1995,"Total","1,685,000"
"Norway",1995,"All Petroleum Products","1,601,000"
"Norway",1995,"Diesel","83,000"
"Switzerland",1995,"Total","3,229,000"
"Switzerland",1995,"All Petroleum Products","3,132,000"
"Switzerland",1995,"Diesel","96,000"
"Switzerland",1995,"Electrical Energy","1,000"
"Former Yugoslav Republic of Macedonia, the",1995,"Total","285,907"
"Former Yugoslav Republic of Macedonia, the",1995,"All Petroleum Products","277,971"
"Former Yugoslav Republic of Macedonia, the",1995,"Diesel","6,663"
"Former Yugoslav Republic of Macedonia, the",1995,"Electrical Energy","0"
"Turkey",1995,"Total","3,058,511"
"Belgium",1996,"Total","4,339,000"
"Belgium",1996,"All Petroleum Products","2,828,000"
"Belgium",1996,"Diesel","1,458,000"
"Belgium",1996,"Electrical Energy","0"
"Bulgaria",1996,"Total","1,707,000"
"Czech Republic",1996,"Total","3,192,532"
"Czech Republic",1996,"All Petroleum Products","2,959,896"
"Czech Republic",1996,"Diesel","223,823"
"Czech Republic",1996,"Electrical Energy","0"
"Denmark",1996,"Total","1,739,000"
"Denmark",1996,"All Petroleum Products","1,659,000"
"Denmark",1996,"Diesel","79,000"
"Germany (until 1990 former territory of the FRG)",1996,"Total","40,988,000"
"Germany (until 1990 former territory of the FRG)",1996,"All Petroleum Products","35,352,000"
"Germany (until 1990 former territory of the FRG)",1996,"Diesel","5,631,000"
"Germany (until 1990 former territory of the FRG)",1996,"Electrical Energy","2,000"
"Estonia",1996,"Total","406,598"
"Ireland",1996,"Total","1,057,383"
"Ireland",1996,"All Petroleum Products","907,700"
"Ireland",1996,"Diesel","148,600"
"Greece",1996,"Total","2,339,000"
"Greece",1996,"All Petroleum Products","2,308,000"
"Greece",1996,"Diesel","29,000"
"Spain",1996,"All Petroleum Products","12,362,000"
"Spain",1996,"Diesel","2,391,000"
"France",1996,"Total","25,500,000"
"France",1996,"Diesel","7,470,000"
"Croatia",1996,"Total","836,000"
"Croatia",1996,"All Petroleum Products","681,000"
"Croatia",1996,"Diesel","155,000"
"Italy",1996,"Total","30,470,000"
"Italy",1996,"All Petroleum Products","25,556,000"
"Italy",1996,"LPG","1,720,000"
"Italy",1996,"Diesel","3,194,000"
"Cyprus",1996,"Total","227,000"
"Cyprus",1996,"All Petroleum Products","208,000"
"Cyprus",1996,"LPG","0"
"Cyprus",1996,"Diesel","19,000"
"Cyprus",1996,"Electrical Energy","0"
"Latvia",1996,"Total","379,895"
"Latvia",1996,"All Petroleum Products","368,012"
"Latvia",1996,"Diesel","11,716"
"Latvia",1996,"Electrical Energy","0"
"Lithuania",1996,"Total","785,088"
"Hungary",1996,"Total","2,265,180"
"Hungary",1996,"All Petroleum Products","2,070,603"
"Hungary",1996,"Diesel","193,637"
"Hungary",1996,"Electrical Energy","0"
"Malta",1996,"Total","166,182"
"Netherlands",1996,"Total","5,810,000"
"Netherlands",1996,"All Petroleum Products","4,802,000"
"Netherlands",1996,"LPG","372,000"
"Netherlands",1996,"Diesel","636,000"
"Austria",1996,"Total","3,690,000"
"Austria",1996,"All Petroleum Products","2,733,000"
"Austria",1996,"Diesel","957,000"
"Austria",1996,"Electrical Energy","0"
"Poland",1996,"Total","8,054,448"
"Poland",1996,"All Petroleum Products","7,250,668"
"Poland",1996,"Diesel","792,281"
"Poland",1996,"Electrical Energy","11,499"
"Portugal",1996,"Total","4,003,000"
"Romania",1996,"Total","2,391,869"
"Romania",1996,"All Petroleum Products","2,213,229"
"Romania",1996,"Diesel","178,640"
"Romania",1996,"Electrical Energy","0"
"Slovenia",1996,"Total","728,000"
"Slovenia",1996,"All Petroleum Products","667,000"
"Slovenia",1996,"Diesel","59,000"
"Slovenia",1996,"Electrical Energy","0"
"Slovakia",1996,"Total","1,058,425"
"Finland",1996,"Total","1,943,000"
"Finland",1996,"All Petroleum Products","1,777,000"
"Finland",1996,"LPG","0"
"Finland",1996,"Diesel","152,000"
"Finland",1996,"Electrical Energy","0"
"Sweden",1996,"Total","3,655,000"
"Sweden",1996,"All Petroleum Products","3,549,000"
"Sweden",1996,"Diesel","105,000"
"United Kingdom",1996,"Total","22,819,000"
"United Kingdom",1996,"All Petroleum Products","20,052,000"
"United Kingdom",1996,"LPG","4,000"
"United Kingdom",1996,"Diesel","2,215,000"
"United Kingdom",1996,"Electrical Energy","94"
"Iceland",1996,"Total","125,000"
"Iceland",1996,"All Petroleum Products","117,000"
"Iceland",1996,"Diesel","8,000"
"Liechtenstein",1996,"Total","19,000"
"Liechtenstein",1996,"All Petroleum Products","18,000"
"Liechtenstein",1996,"Diesel","1,000"
"Liechtenstein",1996,"Electrical Energy","0"
"Norway",1996,"Total","1,661,000"
"Norway",1996,"All Petroleum Products","1,568,000"
"Norway",1996,"Diesel","93,000"
"Switzerland",1996,"Total","3,268,000"
"Switzerland",1996,"All Petroleum Products","3,166,000"
"Switzerland",1996,"Diesel","100,000"
"Switzerland",1996,"Electrical Energy","1,000"
"Former Yugoslav Republic of Macedonia, the",1996,"Total","284,022"
"Former Yugoslav Republic of Macedonia, the",1996,"All Petroleum Products","275,900"
"Former Yugoslav Republic of Macedonia, the",1996,"Diesel","7,155"
"Former Yugoslav Republic of Macedonia, the",1996,"Electrical Energy","0"
"Turkey",1996,"Total","3,274,156"
"Belgium",1997,"Total","4,415,000"
"Belgium",1997,"All Petroleum Products","2,815,000"
"Belgium",1997,"Diesel","1,541,000"
"Belgium",1997,"Electrical Energy","0"
"Bulgaria",1997,"Total","1,731,000"
"Czech Republic",1997,"Total","3,391,541"
"Czech Republic",1997,"All Petroleum Products","3,123,451"
"Czech Republic",1997,"Diesel","259,209"
"Czech Republic",1997,"Electrical Energy","0"
"Denmark",1997,"Total","1,783,000"
"Denmark",1997,"All Petroleum Products","1,702,000"
"Denmark",1997,"LPG","0"
"Denmark",1997,"Diesel","80,000"
"Germany (until 1990 former territory of the FRG)",1997,"Total","41,372,000"
"Germany (until 1990 former territory of the FRG)",1997,"All Petroleum Products","35,599,000"
"Germany (until 1990 former territory of the FRG)",1997,"Diesel","5,587,000"
"Germany (until 1990 former territory of the FRG)",1997,"Electrical Energy","3,000"
"Estonia",1997,"Total","427,678"
"Estonia",1997,"All Petroleum Products","396,700"
"Estonia",1997,"Diesel","31,000"
"Ireland",1997,"Total","1,134,400"
"Ireland",1997,"All Petroleum Products","974,000"
"Ireland",1997,"LPG","0"
"Ireland",1997,"Diesel","159,500"
"Greece",1997,"Total","2,500,000"
"Greece",1997,"All Petroleum Products","2,469,000"
"Greece",1997,"Diesel","29,000"
"Spain",1997,"All Petroleum Products","12,491,000"
"Spain",1997,"Diesel","2,807,000"
"France",1997,"Total","26,090,000"
"France",1997,"Diesel","8,029,000"
"Croatia",1997,"Total","932,000"
"Croatia",1997,"All Petroleum Products","758,000"
"Croatia",1997,"Diesel","174,000"
"Italy",1997,"Total","30,748,000"
"Italy",1997,"All Petroleum Products","25,740,000"
"Italy",1997,"LPG","1,626,000"
"Italy",1997,"Diesel","3,381,000"
"Cyprus",1997,"Total","235,000"
"Cyprus",1997,"All Petroleum Products","213,000"
"Cyprus",1997,"LPG","0"
"Cyprus",1997,"Diesel","22,000"
"Cyprus",1997,"Electrical Energy","0"
"Latvia",1997,"Total","431,816"
"Latvia",1997,"All Petroleum Products","409,127"
"Latvia",1997,"Diesel","22,397"
"Latvia",1997,"Electrical Energy","0"
"Lithuania",1997,"Total","882,101"
"Hungary",1997,"Total","2,297,964"
"Hungary",1997,"All Petroleum Products","2,096,138"
"Hungary",1997,"Diesel","199,660"
"Hungary",1997,"Electrical Energy","551"
"Malta",1997,"Total","183,774"
"Netherlands",1997,"Total","5,931,000"
"Netherlands",1997,"All Petroleum Products","4,904,000"
"Netherlands",1997,"LPG","364,000"
"Netherlands",1997,"Diesel","663,000"
"Austria",1997,"Total","3,783,000"
