"Znamka","Leto","St.prodanih","Delez.na.trgu(%)"
"Renault",2003,1526968,10.58
"Land Rover",2003,80525,0.56
"Seat",2003,381575,2.64
"Skoda",2003,250451,1.73
"Subaru",2003,39354,0.27
"Suzuki",2003,192296,1.33
"Toyota",2003,722807,4.69
"Volkswagen",2003,1420458,9.84
"Volvo",2003,216733,1.5
"Alfa Romeo",2004,158195,0.98
"Aston Martin",2004,1064,0.01
"Audi",2004,572706,3.54
"BMW",2004,593743,3.67
"Citroen",2004,934147,5.78
"Dacia",2004,66174,0.41
"Ferrari",2004,2268,0.01
"Fiat",2004,903180,5.59
"Ford",2004,1356044,8.39
"Honda",2004,261813,1.62
"Hyundai",2004,367427,2.27
"Jaguar",2004,59726,0.37
"Jeep",2004,37590,0.23
"Kia",2004,181180,1.12
"Lancia",2004,116626,0.72
"Lexus",2004,21122,0.13
"Mazda",2004,262646,1.62
"Mercedes Benz",2004,706111,4.37
"Mini",2004,124836,0.77
"Nissan",2004,409717,2.53
"Opel",2004,1454346,9
"Peugeot",2004,1244842,7.7
"Porsche",2004,39613,0.25
"Renault",2004,1679288,10.39
"Land Rover",2004,83066,0.51
"Seat",2004,405597,2.51
"Skoda",2004,412065,2.55
"Subaru",2004,50219,0.31
"Suzuki",2004,219652,1.36
"Toyota",2004,865913,5.05
"Volkswagen",2004,1550745,9.59
"Volvo",2004,258988,1.6
"Alfa Romeo",2005,130922,0.81
"Aston Martin",2005,2701,0.02
"Audi",2005,625024,3.87
"BMW",2005,660319,4.09
"Citroen",2005,951563,5.89
"Dacia",2005,28420,0.18
"Ferrari",2005,2803,0.02
"Fiat",2005,792734,4.91
"Ford",2005,1320222,8.18
"Honda",2005,274312,1.7
"Hyundai",2005,384427,2.38
"Jaguar",2005,46751,0.29
"Jeep",2005,34581,0.21
"Kia",2005,264657,1.64
"Lancia",2005,118773,0.74
"Lexus",2005,23340,0.14
"Mazda",2005,239655,1.48
"Mercedes Benz",2005,708374,4.38
"Mini",2005,129615,0.8
"Nissan",2005,387325,2.39
"Opel",2005,1423665,8.82
"Peugeot",2005,1168066,7.23
"Porsche",2005,44977,0.28
"Renault",2005,1577920,9.77
"Land Rover",2005,91612,0.57
"Seat",2005,386645,2.39
"Skoda",2005,441155,2.73
"Subaru",2005,54324,0.34
"Suzuki",2005,244617,1.51
"Toyota",2005,905805,5.24
"Volkswagen",2005,1604470,9.94
"Volvo",2005,257607,1.6
"Alfa Romeo",2006,145171,0.93
"Aston Martin",2006,3809,0.02
"Audi",2006,639911,4.11
"BMW",2006,680074,4.37
"Citroen",2006,912858,5.86
"Dacia",2006,40939,0.26
"Ferrari",2006,2782,0.02
"Fiat",2006,895023,5.75
"Ford",2006,1272878,8.18
"Honda",2006,279179,1.79
"Hyundai",2006,316865,2.04
"Jaguar",2006,41515,0.27
"Jeep",2006,39206,0.25
"Kia",2006,239488,1.54
"Lancia",2006,116554,0.75
"Lexus",2006,40337,0.26
"Mazda",2006,255958,1.64
"Mercedes Benz",2006,725781,4.66
"Mini",2006,114302,0.73
"Nissan",2006,332150,2.13
"Opel",2006,1322316,8.49
"Peugeot",2006,1108142,7.12
"Porsche",2006,44623,0.29
"Renault",2006,1286563,8.26
"Land Rover",2006,87796,0.56
"Seat",2006,384968,2.47
"Skoda",2006,444506,2.85
"Subaru",2006,55153,0.35
"Suzuki",2006,261455,1.68
"Toyota",2006,960499,5.61
"Volkswagen",2006,1671551,10.74
"Volvo",2006,244082,1.57
"Alfa Romeo",2007,144404,0.92
"Aston Martin",2007,3963,0.03
"Audi",2007,660632,4.21
"BMW",2007,704581,4.49
"Citroen",2007,937587,5.97
"Dacia",2007,76279,0.49
"Ferrari",2007,2924,0.02
"Fiat",2007,964767,6.15
"Ford",2007,1287820,8.2
"Honda",2007,311801,1.99
"Hyundai",2007,292274,1.86
"Jaguar",2007,33267,0.21
"Jeep",2007,45539,0.29
"Kia",2007,250831,1.6
"Lancia",2007,121994,0.78
"Lexus",2007,40496,0.26
"Mazda",2007,240014,1.53
"Mercedes Benz",2007,728474,4.64
"Mini",2007,144978,0.92
"Nissan",2007,313437,2
"Opel",2007,1323698,8.43
"Peugeot",2007,1091534,6.95
"Porsche",2007,45707,0.29
"Renault",2007,1180115,7.52
"Land Rover",2007,102599,0.65
"Seat",2007,382178,2.43
"Skoda",2007,462099,2.94
"Subaru",2007,46820,0.3
"Suzuki",2007,285571,1.82
"Toyota",2007,993745,5.7
"Volkswagen",2007,1610684,10.26
"Volvo",2007,266045,1.69
"Alfa Romeo",2008,102183,0.71
"Aston Martin",2008,3301,0.02
"Audi",2008,661801,4.57
"BMW",2008,676467,4.68
"Citroen",2008,853141,5.9
"Dacia",2008,106760,0.74
"Ferrari",2008,2988,0.02
"Fiat",2008,943202,6.52
"Ford",2008,1216364,8.41
"Honda",2008,264009,1.83
"Hyundai",2008,257686,1.78
"Jaguar",2008,36963,0.26
"Jeep",2008,32597,0.23
"Kia",2008,226507,1.57
"Lancia",2008,114035,0.79
"Lexus",2008,29682,0.21
"Mazda",2008,242144,1.67
"Mercedes Benz",2008,683473,4.72
"Mini",2008,143773,0.99
"Nissan",2008,338169,2.33
"Opel",2008,1135535,7.85
"Peugeot",2008,995255,6.88
"Porsche",2008,36063,0.25
"Renault",2008,1082950,7.49
"Land Rover",2008,72904,0.5
"Seat",2008,332350,2.3
"Skoda",2008,442393,3.06
"Subaru",2008,50904,0.35
"Suzuki",2008,247161,1.71
"Toyota",2008,830286,5.14
"Volkswagen",2008,1553488,10.74
"Volvo",2008,222905,1.54
"Alfa Romeo",2009,110827,0.76
"Aston Martin",2009,2308,0.02
"Audi",2009,617606,4.23
"BMW",2009,571184,3.91
"Citroen",2009,870143,5.96
"Dacia",2009,242419,1.66
"Ferrari",2009,2868,0.02
"Fiat",2009,1010342,6.92
"Ford",2009,1285871,8.8
"Honda",2009,261441,1.79
"Hyundai",2009,332709,2.5
"Jaguar",2009,29427,0.2
"Jeep",2009,18778,0.13
"Kia",2009,262625,1.8
"Lancia",2009,121846,0.83
"Lexus",2009,20629,0.14
"Mazda",2009,213585,1.46
"Mercedes Benz",2009,589329,4.03
"Mini",2009,136656,0.94
"Nissan",2009,372096,2.54
"Opel",2009,1053306,7.21
"Peugeot",2009,1006620,6.89
"Porsche",2009,33407,0.23
"Renault",2009,1124622,7.7
"Land Rover",2009,58474,0.4
"Seat",2009,319663,2.19
"Skoda",2009,486510,3.33
"Subaru",2009,45969,0.31
"Suzuki",2009,251077,1.72
"Toyota",2009,770944,4.88
"Volkswagen",2009,1664443,11.39
"Volvo",2009,207516,1.42
"Alfa Romeo",2010,110654,0.79
"Aston Martin",2010,2315,0.02
"Audi",2010,630561,4.53
"BMW",2010,609939,4.38
"Citroen",2010,839207,6.03
"Dacia",2010,268415,1.93
"Ferrari",2010,2987,0.02
"Fiat",2010,837251,6.01
"Ford",2010,1128782,8.11
"Honda",2010,201829,1.45
"Hyundai",2010,366931,2.64
"Jaguar",2010,27344,0.2
"Jeep",2010,14651,0.11
"Kia",2010,260778,1.87
"Lancia",2010,99671,0.72
"Lexus",2010,19185,0.14
"Mazda",2010,183887,1.32
"Mercedes Benz",2010,592562,4.26
"Mini",2010,142381,1.02
"Nissan",2010,411084,2.94
"Opel",2010,1006683,7.23
"Peugeot",2010,1015057,7.29
"Porsche",2010,37504,0.27
"Renault",2010,1164277,8.36
"Land Rover",2010,70714,0.51
"Seat",2010,305766,2.2
"Skoda",2010,456292,3.28
"Subaru",2010,46882,0.34
"Suzuki",2010,195141,1.4
"Toyota",2010,636365,4.29
"Volkswagen",2010,1558848,11.2
"Volvo",2010,232377,1.67
"Alfa Romeo",2011,131385,0.95
"Aston Martin",2011,2363,0.02
"Audi",2011,693233,5.01
"BMW",2011,649893,4.69
"Citroen",2011,780295,5.63
"Dacia",2011,254617,1.84
"Ferrari",2011,2899,0.02
"Fiat",2011,704157,5.08
"Ford",2011,1106875,7.99
"Honda",2011,163948,1.18
"Hyundai",2011,421393,3.04
"Jaguar",2011,22935,0.17
"Jeep",2011,23996,0.17
"Kia",2011,292569,2.11
"Lancia",2011,98679,0.71
"Lexus",2011,27442,0.2
"Mazda",2011,138857,1
"Mercedes Benz",2011,598569,4.32
"Mini",2011,170432,1.23
"Nissan",2011,470004,3.37
"Opel",2011,996566,7.2
"Peugeot",2011,923371,6.67
"Porsche",2011,42228,0.3
"Renault",2011,1068600,7.72
"Land Rover",2011,73818,0.53
"Seat",2011,311077,2.25
"Skoda",2011,495470,3.58
"Subaru",2011,38411,0.28
"Suzuki",2011,179341,1.3
"Toyota",2011,587715,3.96
"Volkswagen",2011,1703915,12.3
"Volvo",2011,250626,1.81
"Alfa Romeo",2012,90145,0.72
"Aston Martin",2012,1829,0.01
"Audi",2012,705023,5.62
"BMW",2012,640729,5.11
"Citroen",2012,674431,5.37
"Dacia",2012,237956,1.9
"Ferrari",2012,2768,0.02
"Fiat",2012,581613,4.64
"Ford",2012,950344,7.57
"Honda",2012,140579,1.12
"Hyundai",2012,428958,3.42
"Jaguar",2012,23410,0.19
"Jeep",2012,28201,0.22
"Kia",2012,340370,2.71
"Lancia",2012,89995,0.72
"Lexus",2012,26820,0.21
"Mazda",2012,123859,0.99
"Mercedes Benz",2012,598300,4.77
"Mini",2012,158604,1.26
"Nissan",2012,436169,3.48
"Opel",2012,835855,6.66
"Peugeot",2012,795792,6.34
"Porsche",2012,45549,0.36
"Renault",2012,818598,6.52
"Land Rover",2012,104885,0.84
"Seat",2012,261018,2.08
"Skoda",2012,489497,3.9
"Subaru",2012,42165,0.34
"Suzuki",2012,153987,1.23
"Toyota",2012,518720,4.13
"Volkswagen",2012,1608647,12.82
"Volvo",2012,231865,1.85
"Alfa Romeo",2013,64285,0.52
"Aston Martin",2013,1853,0.02
"Audi",2013,695456,5.67
"BMW",2013,639656,5.22
"Citroen",2013,600538,4.9
"Dacia",2013,290078,2.37
"Ferrari",2013,2477,0.02
"Fiat",2013,568838,4.64
"Ford",2013,919799,7.5
"Honda",2013,139638,1.14
"Hyundai",2013,414308,3.38
"Jaguar",2013,26969,0.22
"Jeep",2013,23807,0.19
"Kia",2013,344498,2.81
"Lancia",2013,71872,0.59
"Lexus",2013,23708,0.19
"Mazda",2013,146355,1.19
"Mercedes Benz",2013,624888,5.1
"Mini",2013,153164,1.25
"Nissan",2013,421134,3.44
"Opel",2013,823902,6.72
"Peugeot",2013,736440,6.01
"Porsche",2013,44423,0.36
"Renault",2013,797577,6.51
"Land Rover",2013,111372,0.91
"Seat",2013,287097,2.34
"Skoda",2013,501442,4.09
"Subaru",2013,38935,0.32
"Suzuki",2013,151098,1.23
"Toyota",2013,509862,4.16
"Volkswagen",2013,1541890,12.58
"Volvo",2013,230474,1.88
"Alfa Romeo",2014,58976,0.46
"Aston Martin",2014,1559,0.01
"Audi",2014,722653,5.59
"BMW",2014,672376,5.2
"Citroen",2014,607356,4.69
"Dacia",2014,362520,2.8
"Ferrari",2014,2461,0.02
"Fiat",2014,583206,4.51
"Ford",2014,959191,7.41
"Honda",2014,132579,1.02
"Hyundai",2014,418824,3.24
"Jaguar",2014,28796,0.22
"Jeep",2014,40353,0.31
"Kia",2014,351798,2.72
"Lancia",2014,69835,0.54
"Lexus",2014,31479,0.24
"Mazda",2014,172926,1.34
"Mercedes Benz",2014,657320,5.08
"Mini",2014,156887,1.21
"Nissan",2014,477703,3.69
"Opel",2014,880974,6.81
"Peugeot",2014,782883,6.05
"Porsche",2014,54004,0.42
"Renault",2014,872486,6.74
"Land Rover",2014,118342,0.91
"Seat",2014,327330,2.53
"Skoda",2014,571658,4.42
"Subaru",2014,32907,0.25
"Suzuki",2014,161144,1.25
"Toyota",2014,526272,4.07
"Volkswagen",2014,1606145,12.41
"Volvo",2014,254225,1.96
"Alfa Romeo",2015,56688,0.4
"Aston Martin",2015,1623,0.01
"Audi",2015,763308,5.41
"BMW",2015,743466,5.27
"Citroen",2015,545693,3.87
"Dacia",2015,376324,2.67
"Ferrari",2015,2648,0.02
"Fiat",2015,653212,4.63
"Ford",2015,1036249,7.34
"Honda",2015,130808,0.93
"Hyundai",2015,466167,3.3
"Jaguar",2015,39383,0.28
"Jeep",2015,86803,0.62
"Kia",2015,383047,2.71
"Lancia",2015,61652,0.44
"Lexus",2015,39255,0.28
"Mazda",2015,209290,1.48
"Mercedes Benz",2015,738351,5.23
"Mini",2015,181244,1.28
"Nissan",2015,554046,3.93
"Opel",2015,934368,6.62
"Peugeot",2015,849857,6.02
"Porsche",2015,68270,0.48
"Renault",2015,970454,6.88
"Land Rover",2015,140564,1
"Seat",2015,336560,2.39
"Skoda",2015,612579,4.34
"Subaru",2015,38033,0.27
"Suzuki",2015,177686,1.26
"Toyota",2015,556480,3.94
"Volkswagen",2015,1699221,12.04
"Volvo",2015,284567,2.02
"Alfa Romeo",2016,66155,0.44
"Aston Martin",2016,1508,0.01
"Audi",2016,820151,5.46
"BMW",2016,816888,5.44
"Citroen",2016,541047,3.6
"Dacia",2016,412284,2.75
"Ferrari",2016,2701,0.02
"Fiat",2016,740622,4.93
"Ford",2016,1041431,6.94
"Honda",2016,158983,1.06
"Hyundai",2016,498386,3.32
"Jaguar",2016,67134,0.45
"Jeep",2016,103897,0.69
"Kia",2016,430945,2.87
"Lancia",2016,67059,0.45
"Lexus",2016,44287,0.29
"Mazda",2016,233354,1.55
"Mercedes Benz",2016,839412,5.59
"Mini",2016,208317,1.39
"Nissan",2016,547343,3.65
"Opel",2016,984769,6.56
"Peugeot",2016,860911,5.73
"Porsche",2016,69119,0.46
"Renault",2016,1094374,7.29
"Land Rover",2016,166777,1.11
"Seat",2016,348138,2.32
"Skoda",2016,654562,4.36
"Subaru",2016,37189,0.25
"Suzuki",2016,198508,1.32
"Toyota",2016,595539,3.97
"Volkswagen",2016,1704547,11.35
"Volvo",2016,289747,1.91
